Capacity: 200
Customer: 101

CUST NO.  	 XCOORD.  	 YCOORD.  	 DEMAND  	 READY TIME  	 DUE DATE  	 SERVICE TIME 	cost	d11	d12	d13	d14	d21	d22	d23	d24	d31	d32	d33	d34	d41	d42	 d43	d44	d51	d52	d53	d54
35	65	55	14	117	127	10	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
36	63	65	8	143	153	10	300	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0
37	2	60	5	41	51	10	300	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
38	20	20	8	134	144	10	100	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
39	5	5	16	83	93	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
40	60	12	31	44	54	10	50	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
41	40	25	9	85	95	10	50	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
42	42	7	5	97	107	10	50	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
43	24	12	5	31	41	10	100	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	23	3	7	132	142	10	200	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
45	11	14	18	69	79	10	200	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
46	6	38	16	32	42	10	300	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
47	2	48	1	117	127	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
48	8	56	27	51	61	10	200	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	13	52	36	165	175	10	300	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
50	6	68	30	108	118	10	200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	47	47	13	124	134	10	300	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
52	49	58	10	88	98	10	100	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	27	43	9	52	62	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
54	37	31	14	95	105	10	200	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0
55	57	29	18	140	150	10	50	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	63	23	2	136	146	10	200	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	53	12	6	130	140	10	200	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
58	32	12	7	101	111	10	200	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	36	26	18	200	210	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
60	21	24	28	18	28	10	400	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
61	17	34	3	162	172	10	100	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	12	24	13	76	86	10	200	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
63	24	58	19	58	68	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
64	27	69	10	34	44	10	300	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
65	15	77	9	73	83	10	300	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
66	62	77	20	51	61	10	150	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
67	49	73	25	127	137	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
68	67	5	25	83	93	10	300	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	56	39	36	142	152	10	200	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
70	37	47	6	50	60	10	100	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
71	37	56	5	182	192	10	600	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	57	68	15	77	87	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
73	47	16	25	35	45	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
74	44	17	9	78	88	10	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	46	13	8	149	159	10	200	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	49	11	18	69	79	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
77	49	42	13	73	83	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
78	53	43	14	179	189	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
79	61	52	3	96	106	10	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
80	57	48	23	92	102	10	200	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0
81	56	37	6	182	192	10	400	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
82	55	54	26	94	104	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
83	15	47	16	55	65	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
84	14	37	11	44	54	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
85	11	31	7	101	111	10	300	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	16	22	41	91	101	10	300	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
87	4	18	35	94	104	10	100	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
88	28	18	26	93	103	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
89	26	52	9	74	84	10	100	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
90	26	35	15	176	186	10	600	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	31	67	3	95	105	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
92	15	19	1	160	170	10	300	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
93	22	22	2	18	28	10	300	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	18	24	22	188	198	10	100	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	26	27	27	100	110	10	150	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
96	25	24	20	39	49	10	300	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97	22	27	11	135	145	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
98	25	21	12	133	143	10	600	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
99	19	21	10	58	68	10	150	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	20	26	9	83	93	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
101	18	18	17	185	195	10	100	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
