Capacity: 1000
Customer: 101

CUST NO.  	 XCOORD.  	 YCOORD.  	 DEMAND  	 READY TIME  	 DUE DATE  	 SERVICE TIME 	cost	d11	d12	d13	d14	d21	d22	d23	d24	d31	d32	d33	d34	d41	d42	 d43	d44	d51	d52	d53	d54
28	35	40	16	104	255	10	300	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
29	41	37	16	114	255	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
30	64	42	9	190	313	10	300	0	0	0	0	0	0	0	0	5	3	2	1	0	0	0	0	0	0	0	0
31	40	60	21	259	354	10	50	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	1	0	0	0
32	31	52	27	152	275	10	100	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	0	0	0	0
33	35	69	23	660	777	10	200	1	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1
34	53	52	11	45	200	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
35	65	55	14	529	614	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
36	63	65	8	686	813	10	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
37	2	60	5	41	208	10	300	0	0	0	0	0	0	0	0	3	3	2	2	0	0	0	0	0	0	0	0
38	20	20	8	606	693	10	400	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	0	0	0	0
39	5	5	16	302	405	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
40	60	12	31	33	224	10	100	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
41	40	25	9	360	437	10	100	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
42	42	7	5	396	511	10	150	0	0	0	0	0	0	0	0	4	4	2	0	0	0	0	0	0	0	0	0
43	24	12	5	25	172	10	400	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
44	23	3	7	620	705	10	100	0	0	0	0	0	0	0	0	4	4	3	2	1	1	1	1	3	1	1	0
45	11	14	18	233	340	10	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
46	6	38	16	29	189	10	300	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
47	2	48	1	515	628	10	200	3	3	3	2	1	1	1	0	2	2	0	0	5	3	3	2	1	0	0	0
48	8	56	27	85	250	10	200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	13	52	36	773	906	10	200	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0
50	6	68	30	501	540	10	300	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0
51	47	47	13	547	642	10	100	1	0	0	0	1	1	0	0	1	1	0	0	5	1	0	0	0	0	0	0
52	49	58	10	348	453	10	600	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
53	27	43	9	174	299	10	100	0	0	0	0	0	0	0	0	5	3	2	1	0	0	0	0	0	0	0	0
54	37	31	14	414	489	10	50	2	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	5	0	0	0
55	57	29	18	641	734	10	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
56	63	23	2	620	739	10	600	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
57	53	12	6	585	692	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
58	32	12	7	421	530	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
59	36	26	18	849	980	10	100	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
60	21	24	28	17	229	10	300	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
61	17	34	3	721	862	10	300	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
62	12	24	13	290	377	10	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0
63	24	58	19	163	302	10	400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	27	69	10	34	191	10	400	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
65	15	77	9	214	333	10	100	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
66	62	77	20	49	188	10	150	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
67	49	73	25	592	693	10	300	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	5	0	0	0
68	67	5	25	294	401	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
69	56	39	36	637	752	10	400	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
70	37	47	6	162	293	10	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1
71	37	56	5	788	968	10	200	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	57	68	15	268	367	10	600	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	47	16	25	31	208	10	200	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0
74	44	17	9	308	399	10	600	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	46	13	8	681	802	10	300	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
76	49	11	18	236	345	10	300	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
77	49	42	13	290	373	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
78	53	43	14	817	952	10	200	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
79	61	52	3	384	499	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	0
80	57	48	23	388	465	10	600	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
81	56	37	6	839	968	10	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	3	1
82	55	54	26	411	456	10	150	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0
83	15	47	16	162	289	10	200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	14	37	11	96	249	10	200	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
85	11	31	7	436	511	10	200	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	16	22	41	376	461	10	100	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0
87	4	18	35	388	465	10	100	0	0	0	0	0	0	0	0	0	0	0	0	5	5	4	1	0	0	0	0
88	28	18	26	420	447	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
89	26	52	9	279	388	10	200	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0
90	26	35	15	755	920	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
91	31	67	3	392	487	10	50	1	1	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	15	19	1	739	866	10	400	5	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	22	22	2	18	181	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
94	18	24	22	811	969	10	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
95	26	27	27	436	503	10	200	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
96	25	24	20	92	231	10	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
97	22	27	11	607	690	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
98	25	21	12	612	673	10	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
99	19	21	10	183	306	10	200	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
100	20	26	9	333	432	10	100	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
101	18	18	17	798	965	10	600	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
