14;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;39.5900;8.0300;0.0000;36.3600;16.6000;19.9600;11.4300;27.2300;25.1100;17.1000;26.0600;31.1300;7.2000;29.9900;35.7300;32.8300;9.1500;10.5300;30.5900;21.2900;82.0500;5.1200;5.1200;9.0000;16.1600;20.7700;28.4400;21.7500;17.0100;20.6700;12.3500;30.0800;31.9900;21.7900;5.1200;29.3600;31.6100;57.8800;50.1200;15.0100;40.3200;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700;21.3700
15;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;44.0700;43.5500;36.3600;0.0000;41.1200;36.9200;41.4700;48.7800;46.6800;38.7700;47.6100;57.8800;34.6700;57.3700;62.3000;59.7900;32.7200;44.9800;57.3800;42.9600;70.5400;41.4300;41.4300;43.6900;43.0500;42.4400;59.1100;52.4200;38.6800;48.8900;25.9500;57.0400;59.3000;49.1600;41.4300;51.3900;58.3300;41.3500;40.8200;34.2100;24.7000;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400;43.0400
16;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;35.9100;12.1000;16.6000;41.1200;0.0000;11.9800;7.3500;39.1710;37.0310;28.8000;38.0010;18.3700;19.4300;17.8600;22.7900;20.2800;20.8500;20.7800;17.8700;32.9900;93.7500;15.3700;15.3700;19.2500;26.4100;32.4700;38.6900;32.0000;28.7100;30.9200;15.5200;17.5300;19.3900;9.6500;15.3700;15.2600;19.0600;64.7900;61.8200;7.0300;51.1800;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000;33.1000
17;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;26.9100;15.4600;19.9600;36.9200;11.9800;0.0000;13.3300;42.0110;40.2400;32.2000;40.8410;28.7400;22.3300;28.1600;33.1600;30.6000;24.1700;24.2600;28.2400;36.4200;96.2500;18.8700;18.8700;22.7300;29.8600;35.8700;42.3100;35.5100;32.1100;34.3400;11.3200;27.8500;30.0400;20.0100;18.8700;22.6800;29.0700;60.5900;65.2500;4.9500;46.9800;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000;36.5000
18;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;37.2600;6.9300;11.4300;41.4700;7.3500;13.3300;0.0000;34.0010;31.8610;23.6300;32.8310;23.2200;14.2600;22.7100;27.6400;25.1300;15.6800;15.6100;22.7200;27.8200;88.5800;10.2000;10.2000;14.0800;21.2400;27.3000;33.5200;26.8300;23.5400;25.7500;15.8500;22.3800;24.2400;14.5000;10.2000;20.1100;23.9100;65.1200;56.6500;8.3800;51.5100;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300;27.9300
19;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;65.9410;30.5610;27.2300;48.7800;39.1710;42.0110;34.0010;0.0000;3.0300;10.8400;1.4300;46.6110;20.0300;44.5210;52.4710;48.5210;18.4700;23.0900;46.1110;7.0900;70.5000;26.0810;26.0810;21.8000;16.5000;6.8500;35.4200;30.9600;14.8800;23.0300;39.4510;45.7710;52.1510;43.8410;26.0810;51.4110;46.5610;64.1400;49.4700;37.0610;52.7100;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200;6.2200
20;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;64.1700;28.4210;25.1100;46.6800;37.0310;40.2400;31.8610;3.0300;0.0000;11.8400;1.6900;45.1310;17.9100;42.8200;50.7700;47.0400;16.3500;20.9900;44.6400;4.9700;73.5300;24.6110;24.6110;19.7000;14.4000;4.7300;33.3200;28.3000;12.9800;20.0700;37.4600;44.2900;50.6800;42.0700;24.6110;49.6400;45.0900;66.5500;51.8800;35.2900;50.5900;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200;4.1200
21;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;56.1300;20.1900;17.1000;38.7700;28.8000;32.2000;23.6300;10.8400;11.8400;0.0000;11.1700;42.6900;9.9900;40.2000;47.8900;44.4200;8.4300;18.3700;42.0200;8.2300;77.6600;17.3600;17.3600;17.0800;11.8200;7.7100;30.7400;26.2900;4.0400;19.2000;29.4500;41.6700;44.2300;34.0300;17.3600;41.6000;42.4700;60.2300;48.1500;27.2500;42.6700;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100;8.3100
22;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;64.7710;29.3910;26.0600;47.6100;38.0010;40.8410;32.8310;1.4300;1.6900;11.1700;0.0000;45.4310;18.8600;43.3610;51.3110;47.3510;17.3000;21.9200;44.9310;5.9200;71.9300;24.9110;24.9110;20.6300;15.3300;5.6800;34.2500;29.7900;13.9300;21.7600;38.2810;44.6010;50.9810;42.6710;24.9110;50.2410;45.3910;65.5700;50.9000;35.8910;51.5400;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500;5.0500
23;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;27.5500;23.2800;31.1300;57.8800;18.3700;28.7400;23.2200;46.6110;45.1310;42.6900;45.4310;0.0000;33.5000;2.7500;6.4900;3.4300;35.3400;24.3500;1.6700;40.3900;108.3500;29.8800;29.8800;25.6100;32.7700;41.3800;24.9100;27.3900;43.2800;34.8700;32.6300;1.0500;7.7200;9.3400;29.8800;22.2300;2.5200;81.7100;76.3300;23.9500;68.2900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900;41.1900
24;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;46.2600;10.8200;7.2000;34.6700;19.4300;22.3300;14.2600;20.0300;17.9100;9.9900;18.8600;33.5000;0.0000;32.3600;38.5200;35.2000;1.9500;12.9000;32.9600;14.0900;74.8500;7.4900;7.4900;11.3700;9.9800;13.5700;26.0400;19.3500;9.8100;15.8200;19.5500;32.4500;34.3600;24.1600;7.4900;31.7300;33.9800;55.7100;42.9200;17.3800;38.1500;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700;14.1700
25;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;29.3400;22.7000;29.9900;57.3700;17.8600;28.1600;22.7100;44.5210;42.8200;40.2000;43.3610;2.7500;32.3600;0.0000;7.9500;4.4500;34.0900;22.0700;3.0300;37.9000;107.2100;28.6000;28.6000;23.1200;30.2800;38.8900;25.5600;25.0600;41.3100;32.3800;31.7000;1.7000;9.0800;8.6000;28.6000;21.4900;3.2300;80.9700;75.1200;23.2100;67.3600;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000;38.7000
26;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;31.4900;27.7000;35.7300;62.3000;22.7900;33.1600;27.6400;52.4710;50.7700;47.8900;51.3110;6.4900;38.5200;7.9500;0.0000;4.5500;39.9400;30.0200;7.3000;45.8500;112.8400;34.4600;34.4600;31.0700;38.2300;46.8400;28.9800;33.0100;47.8000;39.0700;38.0000;7.3000;13.3500;14.9000;34.4600;27.7900;6.3800;87.2700;80.9100;29.5100;73.6600;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500;46.6500
27;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;29.8600;25.1400;32.8300;59.7900;20.2800;30.6000;25.1300;48.5210;47.0400;44.4200;47.3510;3.4300;35.2000;4.4500;4.5500;0.0000;37.0400;26.0500;3.8100;42.1500;110.0500;31.5800;31.5800;27.5700;34.6600;43.1400;25.0200;29.0900;44.9800;35.3200;34.7600;2.7500;9.8600;11.0400;31.5800;23.9300;2.6300;83.4100;78.0300;25.6500;70.1200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200;42.9200
28;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;48.1000;12.2400;9.1500;32.7200;20.8500;24.1700;15.6800;18.4700;16.3500;8.4300;17.3000;35.3400;1.9500;34.0900;39.9400;37.0400;0.0000;12.2600;34.8000;12.6800;73.3800;9.3300;9.3300;10.9700;10.8100;12.1600;26.8700;20.1800;8.4000;16.6500;21.5000;34.2900;36.2000;26.0000;9.3300;33.5700;35.8200;54.2400;41.4500;19.2200;36.6800;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600;12.7600
29;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;48.1900;12.1700;10.5300;44.9800;20.7800;24.2600;15.6100;23.0900;20.9900;18.3700;21.9200;24.3500;12.9000;22.0700;30.0200;26.0500;12.2600;0.0000;23.6500;16.1000;85.6400;8.3300;8.3300;1.5300;8.6100;17.0900;21.1200;11.5700;19.4900;13.1200;21.7000;23.3000;29.6900;26.0900;8.3300;33.6600;24.1000;66.5000;53.3000;19.3100;48.9400;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700;16.8700
30;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;26.3100;22.7800;30.5900;57.3800;17.8700;28.2400;22.7200;46.1110;44.6400;42.0200;44.9310;1.6700;32.9600;3.0300;7.3000;3.8100;34.8000;23.6500;0.0000;39.7500;107.8100;29.3400;29.3400;25.1800;32.2600;40.7400;25.6800;27.3400;42.7400;34.6600;31.9000;2.7200;6.4900;8.8000;29.3400;21.6900;3.0800;81.1700;75.7900;23.4100;67.5600;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200;40.5200
