Pillac_TRSP_U5

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
       45        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
72         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
73         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
74         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
75         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
76         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
77         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
78         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
79         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
80         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
81         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
82         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
83         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
84         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
85         0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
86         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
87         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
88         0.0      0.0   975.0   990.0    90.0 	[] 	[] 	[]
89         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
90         0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
91         0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
92         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
93         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
94         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
95         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
96         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
97         0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
98         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
99         0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
100        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
101        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
102        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
103        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
104        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
105        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
106        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
107        0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
108        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
109        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
110        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
111        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
112        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
113        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
114        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
115        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
116        0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
117        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
118        0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
119        0.0      0.0   782.0   797.0    90.0 	[] 	[] 	[]
120        0.0      0.0   705.0   720.0    90.0 	[] 	[] 	[]
121        0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
122        0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
123        0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
124        0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
125        0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
126        0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
127        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
128        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
129        0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
130        0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
131        0.0      0.0     0.0   862.0    90.0 	[] 	[] 	[]
132        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
133        0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
134        0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
135        0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
136        0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
137        0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
138        0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
139        0.0      0.0   825.0   840.0    90.0 	[] 	[] 	[]
140        0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
141        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
142        0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
143        0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
144        0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
145        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
146        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
147        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
148        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
149        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
150        0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
151        0.0      0.0   765.0   780.0    90.0 	[] 	[] 	[]
152        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
153        0.0      0.0   825.0   840.0    90.0 	[] 	[] 	[]
154        0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
155        0.0      0.0   585.0   600.0    90.0 	[] 	[] 	[]
156        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
157        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
158        0.0      0.0   465.0   480.0    90.0 	[] 	[] 	[]
159        0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
160        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
161        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
162        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
163        0.0      0.0     0.0   914.0    45.0 	[] 	[] 	[]
164        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
165        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
166        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
167        0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
168        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
169        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
170        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
171        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
172        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
173        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
174        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
175        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
176        0.0      0.0   975.0   990.0    45.0 	[] 	[] 	[]
177        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
178        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
179        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
180        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
181        0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
182        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
183        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
184        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
185        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
186        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
187        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
188        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
189        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
190        0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
191        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
192        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
193        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
194        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
195        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
196        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
197        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
198        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
199        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
200        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
201        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
202        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
203        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
204        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
205        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
206        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
207        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
208        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
209        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
210        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
211        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
212        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
213        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
214        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
215        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
216        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
217        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
218        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
219        0.0      0.0     0.0   845.0    45.0 	[] 	[] 	[]
220        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
221        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
222        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
223        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
224        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
225        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
226        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
227        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
228        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
229        0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
230        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
231        0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
232        0.0      0.0     0.0   521.0    45.0 	[] 	[] 	[]
233        0.0      0.0     0.0  1064.0    45.0 	[] 	[] 	[]
234        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
235        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
236        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
237        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
238        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
239        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
240        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
241        0.0      0.0     0.0  1182.0    45.0 	[] 	[] 	[]
242        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
243        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
244        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
245        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
246        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
247        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
248        0.0      0.0     0.0   614.0    45.0 	[] 	[] 	[]
249        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
250        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
251        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
252        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
253        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
254        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
255        0.0      0.0     0.0  1005.0    45.0 	[] 	[] 	[]
256        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
257        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
258        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
259        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
260        0.0      0.0     0.0   551.0    45.0 	[] 	[] 	[]
261        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
262        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
263        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
264        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
265        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
266        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
267        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
268        0.0      0.0     0.0   995.0    45.0 	[] 	[] 	[]
269        0.0      0.0     0.0   995.0    45.0 	[] 	[] 	[]
270        0.0      0.0     0.0   661.0    45.0 	[] 	[] 	[]
271        0.0      0.0     0.0   663.0    45.0 	[] 	[] 	[]
272        0.0      0.0     0.0   893.0    45.0 	[] 	[] 	[]
273        0.0      0.0     0.0   915.0    45.0 	[] 	[] 	[]
274        0.0      0.0     0.0  1254.0    45.0 	[] 	[] 	[]
275        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
276        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
277        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
278        0.0      0.0     0.0   923.0    45.0 	[] 	[] 	[]
279        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
280        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
281        0.0      0.0     0.0   792.0    45.0 	[] 	[] 	[]
282        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
283        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
284        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
285        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
286        0.0      0.0     0.0   821.0    45.0 	[] 	[] 	[]
287        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
288        0.0      0.0     0.0   811.0    45.0 	[] 	[] 	[]
289        0.0      0.0     0.0   866.0    45.0 	[] 	[] 	[]
290        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
291        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
292        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
293        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
294        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
295        0.0      0.0     0.0   896.0    45.0 	[] 	[] 	[]
296        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
297        0.0      0.0     0.0  1038.0    45.0 	[] 	[] 	[]
298        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
299        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
300        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
301        0.0      0.0     0.0  1035.0    45.0 	[] 	[] 	[]
302        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
303        0.0      0.0   555.0   570.0    45.0 	[] 	[] 	[]
304        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
305        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
306        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
307        0.0      0.0   615.0   630.0    45.0 	[] 	[] 	[]
308        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
309        0.0      0.0     0.0  1063.0    45.0 	[] 	[] 	[]
310        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
311        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
312        0.0      0.0     0.0  1069.0    45.0 	[] 	[] 	[]
313        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
314        0.0      0.0   465.0   480.0    45.0 	[] 	[] 	[]
315        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
316        0.0      0.0     0.0   707.0    45.0 	[] 	[] 	[]
317        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
318        0.0      0.0     0.0   530.0    45.0 	[] 	[] 	[]
319        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
320        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
321        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
322        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
323        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
324        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
325        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
326        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
327        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
328        0.0      0.0     0.0   713.0    45.0 	[] 	[] 	[]
329        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
330        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
331        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
332        0.0      0.0     0.0   731.0    45.0 	[] 	[] 	[]
333        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
DISTANCES
0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;13.9100;12.1500;18.4600;11.0900;2.1300;5.3500;12.1800;10.9800;6.3800;27.5500;5.5300;8.3800;15.3300;9.2900;11.2600;9.2200;10.0500;8.6400;9.7400;8.5100;4.6800;14.2300;12.2900;11.0900;9.8800;4.8700;1.1200;8.9300;5.4000;4.3800;4.3800;9.8000;14.4100;25.5800;6.4300;9.8700;7.4700;10.5600;13.4000;11.3500;8.8200;6.8100;8.9200;8.8300;6.3800;2.4300;7.0800;3.7500;8.4900;7.7000;4.5000;10.0400;29.0800;8.8400;9.0000;10.5900;29.3200;14.6800;4.6400;14.1800;26.0600;6.1100;8.6700;17.2800;6.1100;14.9600;9.7800;7.5500;5.1300;14.4400;12.1600;6.8100;7.8800;10.1800;11.3400;9.4900;17.5100;7.7100;8.5900;8.7900;11.9700;25.6900;12.9300;13.0300;26.9000;26.9000;26.9000;6.6900;26.5400;7.0400;31.4100;6.9200;11.0200;9.0800;6.8900;32.5700;11.3100;13.2200;17.7400;17.7400;2.9000;3.5400;13.5800;9.3300;10.2200;2.3400;6.6300;9.5000;10.3300;5.3600;17.4400;6.3200;10.8200;25.5000;6.8200;6.4700;8.0800;8.2000;7.7700;11.9400;6.8500;7.9600;13.1700;17.7900;5.3100;11.0700;6.3700;9.6600;5.9100;8.9200;10.5500;7.9900;23.8300;11.3400;4.9100;10.5600;5.9200;11.2900;3.9900;7.9900;15.0100;12.6300;6.3400;8.3900;10.6400;11.0900;6.7400;6.8100;6.0500;11.1400;10.2200;7.5500;6.4000;13.9700;7.3700;6.8800;6.9200;26.0900;1.8400;12.7200;8.9600;5.4200;12.0100;31.6600;9.0800;6.8100;8.6600;9.1700;10.7700;9.2900;15.2500;11.2300;14.5600;9.5200;11.9700;10.2000;12.9600;11.8900;6.5500;12.3100;7.7700;11.0700;26.9300;9.5500;12.9900;12.9000;6.5600;8.5300;5.9700;9.7100;14.6100;8.8200;3.4500;13.4500;10.4600;7.4000;10.5600;9.8600;12.5000;10.9300;4.0200;17.8100;9.7400;14.4600;17.5600;20.1400;10.0900;2.4800;11.5900;9.4200;28.8600;6.3500;11.1200;12.3200;13.6500;9.1100;10.8200;7.6700;13.0800;11.7200;15.1800;12.3100;8.8100;8.4900;12.5100;8.4300;8.7400;8.7400;9.6400;8.2000;6.9100;4.7400;8.7400;7.4700;4.8000;9.8300;12.2800;6.1100;9.4500;3.3800;13.0200;6.8000;12.5100;0.9900;7.7700;4.4800;12.2500;13.0700;13.0700;3.3800;2.3300;6.8100;5.4300;6.8100;7.8800;6.9800;6.2800;6.4000;12.0800;13.5100;10.8200;18.4400;7.2000;6.6000;12.0800;12.0800;6.4500;12.0800;6.8600;12.3900;6.3900;8.3300;2.7600;6.9800;12.4400;6.8100;6.6500;5.9500;7.8400;6.6000;18.5500;6.0100;6.6300;12.0700;9.4000;1.9500;8.9200;5.4200;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
