15;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;2.4500;8.4800;0.0000;11.0600;15.4200;24.5500;21.1400;37.7500;27.9200;36.2900;26.6300;37.2800;20.5100;22.0700;26.5000;41.5410;38.9510;24.2400;39.9010;26.2100;34.9900;26.4600;25.9200;27.2500;27.8700;26.2300;25.1300;73.5500;52.9300;78.9500;24.5500;34.0300;30.1100;29.8600;23.2200;40.7000;24.5500;41.1810;37.5200;36.5200;31.0300;39.4400;29.4600;29.4000;58.3500;20.0300;9.8600;15.1800;11.7900;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300;35.0300
16;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;12.9000;14.3100;11.0600;0.0000;25.9000;14.4300;25.7800;27.6300;25.6200;26.1700;24.3300;27.1600;10.3900;11.9500;16.3800;31.4210;28.8310;21.9400;29.7810;16.0900;24.8700;24.1600;23.6200;24.9500;25.5700;23.9300;22.8300;63.4300;58.7900;71.3600;14.4300;23.9100;19.9900;19.7400;13.1000;30.5800;14.4300;31.0610;27.4000;26.4000;20.9100;29.3200;27.1600;27.1000;66.1200;9.9100;15.7200;5.0600;17.6500;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100;24.9100
17;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;15.7800;23.2900;15.4200;25.9000;0.0000;39.3600;32.7600;52.5600;29.7600;51.1000;30.6700;52.0900;35.3200;36.8800;41.3100;56.3510;53.7610;28.9100;54.7110;41.0200;49.8000;29.7100;30.5900;29.9200;21.0100;28.8000;27.7800;85.9800;59.4800;90.5700;39.3600;48.8400;44.9200;44.6700;38.0300;55.5100;39.3600;55.9910;52.3300;51.3300;45.8400;54.2500;31.9800;32.1400;52.5200;34.8400;21.4800;29.9900;21.3100;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400;49.8400
18;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;26.3900;23.1900;24.5500;14.4300;39.3600;0.0000;23.6100;24.0800;36.1800;17.8100;34.4500;19.0700;11.5400;4.3400;9.1800;24.4600;21.4500;33.3700;22.7100;9.7000;16.7800;35.6600;35.3400;36.4500;38.2600;35.5800;35.5000;55.8200;53.6200;63.7500;0.0000;20.2300;11.5100;20.3300;13.6900;23.1100;0.0000;24.0100;19.9300;18.3100;12.4300;21.8500;38.4000;34.3900;74.4100;9.3200;23.4500;9.3700;25.8000;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400;17.4400
19;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;22.9800;14.5500;21.1400;25.7800;32.7600;23.6100;0.0000;43.2900;45.1600;32.7900;43.8700;33.9800;26.0500;21.2800;23.2000;38.5900;35.4700;41.4800;36.7300;28.8300;31.6900;43.7000;43.1600;44.4900;45.1100;43.4700;42.3700;53.2400;36.8500;57.8100;23.6100;39.5700;29.6300;35.4000;28.7600;37.1300;23.6100;38.0300;33.9500;33.2200;30.5500;35.8700;46.7000;46.3500;61.7500;17.0500;11.3500;20.7200;14.5600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600
20;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;39.5900;36.7400;37.7500;27.6300;52.5600;24.0800;43.2900;0.0000;25.9300;28.3800;24.5600;28.5200;19.0800;25.0400;29.5700;33.9300;31.1000;26.9600;32.4200;19.8900;26.7200;25.4300;28.6600;26.0900;33.6200;26.0800;27.8800;76.6200;74.6800;84.5500;24.0800;9.9800;21.5000;18.3100;21.2300;35.1300;24.0800;33.4000;34.0800;28.2500;22.4200;35.4600;27.8400;22.4900;88.0900;28.9600;38.4600;24.1100;40.8100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100;26.6100
21;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;29.7600;32.4700;27.9200;25.6200;29.7600;36.1800;45.1600;25.9300;0.0000;40.9700;1.7300;42.0100;25.6600;36.1500;40.6500;48.2700;45.4400;5.2100;46.6500;30.6000;39.7200;1.4600;5.4200;0.6700;8.7500;2.1500;3.1300;87.6300;77.1600;95.5600;36.1800;34.5000;34.5000;23.3100;22.4900;49.4700;36.1800;47.9500;48.4200;41.2500;35.4200;49.8000;2.2200;3.4400;63.0400;34.1100;34.0900;29.2600;36.0200;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500;40.9500
22;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;38.1300;34.7700;36.2900;26.1700;51.1000;17.8100;32.7900;28.3800;40.9700;0.0000;39.2400;1.3100;16.3300;14.3000;9.7900;7.5400;4.7400;38.1600;5.6800;11.5100;1.8300;40.4500;40.1300;41.2400;47.1900;40.3700;40.7300;63.3900;60.8200;70.4400;17.8100;23.3800;8.1600;25.1200;18.4800;9.1200;17.8100;6.9800;9.0700;0.5500;8.4200;9.4700;43.1900;39.1800;85.9900;20.9000;35.0300;21.1800;37.3800;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700;1.7700
23;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;28.4700;31.1800;26.6300;24.3300;30.6700;34.4500;43.8700;24.5600;1.7300;39.2400;0.0000;40.2800;23.9300;34.8700;39.2900;46.5400;43.7100;4.1600;44.9200;28.8700;37.9900;1.2100;4.1000;2.0000;9.6600;1.8700;3.6700;86.4500;75.8400;94.3800;34.4500;34.2800;32.7700;21.5800;20.7600;47.7400;34.4500;46.2200;46.6900;39.5200;33.6900;48.0700;3.9500;3.0900;63.8800;33.0400;32.7700;28.1900;34.7000;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200;39.2200
24;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;39.1200;35.6800;37.2800;27.1600;52.0900;19.0700;33.9800;28.5200;42.0100;1.3100;40.2800;0.0000;17.5700;15.6100;11.0500;6.9500;4.7200;39.2000;5.6600;12.5900;2.2900;41.4900;41.1700;42.2800;48.3700;41.6300;41.9900;64.6500;62.0800;70.4200;19.0700;23.4700;9.4200;26.3800;19.7400;9.1000;19.0700;6.3900;9.0500;0.7600;9.6800;9.4500;44.2300;40.4400;86.9000;21.8100;35.9400;22.1700;38.2900;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800;2.6800
25;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;22.3500;19.5000;20.5100;10.3900;35.3200;11.5400;26.0500;19.0800;25.6600;16.3300;23.9300;17.5700;0.0000;12.1700;16.5900;23.6300;20.8000;22.8500;22.0100;6.1600;15.2800;25.1400;24.8200;25.9300;31.8800;25.0600;25.4200;63.7500;61.8100;71.6800;11.5400;13.9800;10.0600;9.8100;3.1700;24.8300;11.5400;23.3100;23.7800;16.8100;10.9800;25.1600;27.8800;23.8700;70.6600;10.3400;19.8400;5.4900;22.1900;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100;16.3100
26;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;23.9100;20.7100;22.0700;11.9500;36.8800;4.3400;21.2800;25.0400;36.1500;14.3000;34.8700;15.6100;12.1700;0.0000;4.8400;20.2300;17.1100;32.1200;18.3700;9.4100;13.3300;35.4800;33.8100;36.2700;35.7800;34.8200;33.0200;51.9400;49.6400;59.8700;4.3400;20.0600;10.2100;21.6700;15.0300;18.7700;4.3400;19.6700;15.5900;14.8500;11.1300;17.5100;38.3700;34.3900;71.9300;6.8400;20.9700;6.8900;23.3200;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000;13.1000
