10;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
11;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
12;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;35.1400;23.6400;18.8300;39.7600;1.5100;1.5100;39.5300;16.5100;16.2800;38.0300;6.0000;40.0800;6.0000;15.1500;40.9700;38.9600;12.5000;16.6100;15.3000;12.6900;1.9100;73.0300;58.6400;72.2100;48.1900;59.4000;32.6500;58.6400;1.4100;7.3100;8.6300;6.2000;9.5600;4.0700;18.8300;7.4700;8.7800;12.0900;29.2400;36.2000;42.2100;39.7700;41.2300;34.8900;38.6700;39.2700;41.0300;41.0300;33.7100;33.5300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
13;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;0.0000;11.5000;24.7400;29.1200;36.4400;36.4400;30.0800;19.0200;20.2000;32.8800;39.3710;31.1200;39.2910;20.0900;30.8600;30.3500;23.8000;21.0900;19.8400;22.9500;35.3400;74.1200;48.8500;62.2400;40.3200;60.5500;24.7400;48.8500;34.8400;27.9900;29.6700;35.5500;26.3900;35.3800;24.7400;36.5100;38.5000;23.9200;39.1600;31.6800;31.4000;29.5400;31.5900;24.4200;29.4400;30.0400;31.4500;52.7200;2.1400;14.1000;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400;35.1400
14;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;11.5000;0.0000;13.2400;29.9300;24.9400;24.9400;31.3000;7.5200;8.7000;28.7900;27.8710;31.8500;27.7910;8.5900;31.6700;30.7300;12.3000;9.5900;8.3400;11.4500;23.8400;69.7900;52.6100;66.1700;42.1600;56.1900;26.6100;52.6100;23.3400;16.4900;18.1700;24.0500;14.8900;23.8800;13.2400;25.0100;27.0000;12.4200;27.6600;26.7600;32.2000;30.5500;32.3700;16.1300;29.2300;31.0400;32.1900;41.2200;10.0700;14.7700;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400;23.6400
15;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;24.7400;13.2400;0.0000;33.8600;20.2300;20.2300;33.6300;10.6100;10.3800;32.1300;24.5100;34.1800;24.5700;9.2400;35.0700;33.0600;7.6400;10.7100;9.4000;6.2900;19.4000;65.9800;53.9600;67.5300;43.5100;52.4100;27.9700;53.9600;18.9000;11.5200;15.0700;20.5800;10.4500;19.4400;0.0000;21.5400;23.5300;7.4500;25.4500;30.3000;36.3100;33.8700;35.3300;24.3800;32.7700;33.3700;35.1300;39.0100;23.2200;23.0200;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300;18.8300
16;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;29.1200;29.9300;33.8600;0.0000;41.0600;41.0600;2.4800;25.4900;23.9200;5.9500;45.7600;3.5200;45.7600;24.7100;2.0200;2.9400;28.4200;23.4300;24.4600;27.5700;39.9600;94.7000;76.0600;90.5700;68.6200;81.1300;53.0700;76.0600;39.4600;36.4500;41.5600;45.9600;31.0100;40.0000;33.8600;47.2300;48.5400;31.9800;25.8500;4.7700;2.5600;2.6300;2.7500;13.8000;2.5300;3.1300;2.6100;26.9400;30.6700;16.4000;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600;39.7600
17;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;36.4400;24.9400;20.2300;41.0600;0.0000;0.0000;40.8300;17.8100;17.5800;39.3300;4.9200;41.3800;4.9800;16.4400;42.2700;40.2600;13.7700;17.9100;16.6000;14.2000;2.1000;74.0500;59.9800;73.5400;49.5300;60.4200;33.9800;59.9800;1.6000;8.7100;9.9000;5.4700;10.8900;4.2600;20.2300;7.4300;7.9000;13.4900;30.7500;37.5000;43.5100;41.0700;42.5300;36.2500;39.9700;40.5700;42.3300;41.2200;35.0100;34.8900;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100
18;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;36.4400;24.9400;20.2300;41.0600;0.0000;0.0000;40.8300;17.8100;17.5800;39.3300;4.9200;41.3800;4.9800;16.4400;42.2700;40.2600;13.7700;17.9100;16.6000;14.2000;2.1000;74.0500;59.9800;73.5400;49.5300;60.4200;33.9800;59.9800;1.6000;8.7100;9.9000;5.4700;10.8900;4.2600;20.2300;7.4300;7.9000;13.4900;30.7500;37.5000;43.5100;41.0700;42.5300;36.2500;39.9700;40.5700;42.3300;41.2200;35.0100;34.8900;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100;1.5100
19;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;30.0800;31.3000;33.6300;2.4800;40.8300;40.8300;0.0000;25.2700;23.7000;3.4700;45.5300;1.1500;45.5300;24.4800;2.0900;0.5700;28.1900;23.2000;24.2300;27.3400;39.7300;94.8800;77.5100;92.0200;70.0700;81.2800;54.5200;77.5100;39.2300;36.2200;41.3300;45.7300;30.7800;39.7700;33.6300;47.0000;48.3100;31.7500;23.3700;4.5400;3.6800;1.3800;2.0600;15.2500;3.9800;0.8800;1.5000;24.5700;32.1200;17.8500;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300;39.5300
20;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;19.0200;7.5200;10.6100;25.4900;17.8100;17.8100;25.2700;0.0000;1.5700;23.6600;22.5100;25.9900;22.5100;1.4600;26.8800;24.8700;5.1700;2.4600;1.2100;4.3200;16.7100;71.8600;60.0200;73.5800;49.5700;58.2600;34.0200;60.0200;16.2100;13.2000;18.3100;22.7100;7.7600;16.7500;10.6100;23.9800;25.2900;8.7300;20.5300;21.6300;27.6400;25.6800;27.1400;18.8300;24.1100;25.1800;26.7700;34.0900;17.5900;17.4700;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100;16.5100
21;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;20.2000;8.7000;10.3800;23.9200;17.5800;17.5800;23.7000;1.5700;0.0000;22.0900;22.2800;24.8500;22.2800;1.2300;25.5200;23.7800;4.9400;1.1500;0.9800;4.0900;16.4800;71.6300;59.7900;73.3500;49.3400;58.0300;33.7900;59.7900;15.9800;12.9700;18.0800;22.4800;7.5300;16.5200;10.3800;23.7500;25.0600;8.5000;20.3000;20.0600;26.0700;24.2100;25.7600;20.0100;22.5400;24.0900;25.2000;32.7900;18.7700;18.6500;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800;16.2800
22;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;32.8800;28.7900;32.1300;5.9500;39.3300;39.3300;3.4700;23.6600;22.0900;0.0000;44.0300;4.6200;44.0300;22.9800;5.1200;4.0400;26.6900;21.7000;22.7300;25.8400;38.2300;93.3800;79.8000;94.3100;70.9500;79.7800;55.4000;79.8000;37.7300;34.7200;39.8300;44.2300;29.2800;38.2700;32.1300;45.5000;46.8100;30.2500;21.3900;3.9100;6.7200;3.3400;4.7500;17.5900;3.5400;3.8400;4.6700;24.2500;34.4200;20.1500;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300;38.0300
23;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;39.3710;27.8710;24.5100;45.7600;4.9200;4.9200;45.5300;22.5100;22.2800;44.0300;0.0000;46.0800;0.0800;21.1500;46.9700;44.9600;18.5000;22.6100;21.3000;18.6900;7.0200;71.0100;61.7800;72.8100;54.1900;57.3800;38.6500;61.7800;6.5200;13.3100;11.7500;6.2000;15.5600;8.8700;24.5100;4.9100;3.6600;18.0900;35.2400;42.2000;48.2100;45.7700;47.2300;39.6410;44.6700;45.2700;47.0300;45.8300;37.9410;38.2810;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000
24;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;31.1200;31.8500;34.1800;3.5200;41.3800;41.3800;1.1500;25.9900;24.8500;4.6200;46.0800;0.0000;46.0800;25.0300;3.1300;1.1200;28.7400;23.7500;24.7800;27.8900;40.2800;95.4300;78.0600;92.5700;70.6200;81.8300;55.0700;78.0600;39.7800;36.7700;41.8800;46.2800;31.3300;40.3200;34.1800;47.5500;48.8600;32.3000;23.9200;5.0900;4.7300;1.9300;3.1100;15.8000;4.5300;1.4300;2.6500;24.5000;32.6700;18.4000;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800;40.0800
25;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;39.2910;27.7910;24.5700;45.7600;4.9800;4.9800;45.5300;22.5100;22.2800;44.0300;0.0800;46.0800;0.0000;21.1500;46.9700;44.9600;18.5000;22.6100;21.3000;18.6900;7.0800;70.9300;61.7000;72.7300;54.1900;57.3000;38.6500;61.7000;6.5800;13.3100;11.6700;6.1200;15.5600;8.7900;24.5700;4.8300;3.5800;18.0900;35.2400;42.2000;48.2100;45.7700;47.2300;39.5610;44.6700;45.2700;47.0300;45.7500;37.8610;38.2010;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000;6.0000
