10;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
11;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
12;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;40.2100;78.9700;31.4600;68.2800;60.9200;33.7700;39.6700;38.6200;5.7300;41.4200;5.7100;39.5900;5.5800;39.5600;6.3700;79.2400;63.6600;28.0700;69.5000;16.5100;1.4000;11.7000;16.3000;7.1400;41.1300;54.0500;27.7000;39.1800;41.3500;78.5200;67.1500;38.6000;78.5200;25.5100;37.2300;86.8400;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
13;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;0.0000;47.6900;16.4600;37.0900;29.7100;29.9000;32.1000;35.1100;43.2310;31.5100;37.0800;31.8900;43.8210;32.0600;43.9510;72.9400;55.1600;15.4400;74.2700;24.8500;38.8100;38.8400;42.5000;44.6410;33.5600;40.9600;30.1000;31.2300;31.2900;47.3300;35.9600;11.2100;47.3300;15.8200;13.1000;55.6500;13.3100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100;40.2100
14;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;47.6900;0.0000;53.9400;12.0000;23.7900;67.1000;55.5400;58.5600;81.9910;52.6500;75.1800;55.7500;82.5810;55.8400;82.7110;73.8900;53.0000;54.2000;84.6100;63.5300;77.5700;77.5200;81.2400;83.4010;55.2100;43.6700;66.8500;55.1900;52.5400;0.4900;12.1800;48.1000;0.4900;58.9100;56.1900;14.3400;52.0700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700;78.9700
15;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;16.4600;53.9400;0.0000;43.2600;31.8800;13.4400;43.8800;46.8900;36.7100;43.2900;31.3600;43.6700;36.5600;43.8400;37.3500;56.4800;40.8900;18.9800;57.8100;26.8100;32.0700;37.3500;41.9500;38.1200;45.3400;49.5800;36.1500;43.0100;43.0700;53.5000;42.1300;22.9900;53.5000;24.5300;24.8800;61.3300;20.3400;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600;31.4600
16;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;37.0900;12.0000;43.2600;0.0000;14.1600;56.7000;45.0200;48.0400;71.3010;41.9500;64.6600;45.2300;71.8910;45.3200;72.0210;69.5900;43.3700;43.6700;74.9100;52.9200;66.8800;66.9100;70.5700;72.7110;44.5700;33.0300;56.1300;44.4600;41.8600;11.5100;1.1300;37.5700;11.5100;48.3800;45.6600;19.8300;41.5400;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800;68.2800
17;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;29.7100;23.7900;31.8800;14.1600;0.0000;43.3100;54.4900;57.5100;63.9410;51.6000;57.1300;54.7000;64.5310;54.7900;64.6610;70.8100;44.5900;36.1500;75.1100;45.4800;59.5200;59.4700;63.1900;65.3510;54.1600;42.6200;54.8200;54.6200;51.4900;23.3400;15.2900;36.2500;23.3400;40.8600;38.1400;29.4500;34.0200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200;60.9200
18;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;29.9000;67.1000;13.4400;56.7000;43.3100;0.0000;57.3200;56.6600;39.0200;56.7300;33.6700;57.1100;38.8700;57.2800;39.7200;51.0200;35.4300;30.9800;44.3700;36.5100;34.3800;39.2400;43.8400;40.4300;58.7800;63.0200;45.8500;56.4500;56.5100;66.6500;55.5700;36.4300;66.6500;34.2300;38.3200;70.8600;32.8700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700;33.7700
19;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;32.1000;55.5400;43.8800;45.0200;54.4900;57.3200;0.0000;3.1500;44.3200;3.6700;35.7100;0.2100;44.8800;0.3000;45.0400;100.3600;82.8800;33.7100;95.4400;23.1600;39.0100;38.0500;41.9000;45.5400;1.4600;17.1800;13.2200;2.2300;4.3400;55.8600;44.4900;28.7900;55.8600;24.8900;19.3200;64.1800;33.6200;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700;39.6700
20;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;35.1100;58.5600;46.8900;48.0400;57.5100;56.6600;3.1500;0.0000;43.2700;6.8200;34.6600;3.3600;43.8300;3.4500;43.9900;102.9400;85.5800;32.6600;94.3900;22.1100;37.9600;37.5100;41.2300;44.4900;4.6100;20.3300;12.1700;3.8800;7.1900;58.5800;47.2100;31.4800;58.5800;25.7500;22.0100;66.9000;32.5700;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200;38.6200
21;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;43.2310;81.9910;36.7100;71.3010;63.9410;39.0200;44.3200;43.2700;0.0000;45.6110;10.2500;44.2400;1.0400;44.2100;0.8200;79.5400;63.9500;30.0110;65.4500;21.1600;5.3100;15.6900;18.3900;1.4100;45.7800;58.7000;32.3500;43.8300;46.0000;81.5410;70.1710;41.6210;81.5410;28.5310;40.2510;89.8610;29.9210;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300;5.7300
22;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;31.5100;52.6500;43.2900;41.9500;51.6000;56.7300;3.6700;6.8200;45.6110;0.0000;37.4600;3.6000;46.6300;3.3700;46.4310;99.7500;81.9700;32.4700;95.2100;24.9100;40.7600;39.8000;43.5200;47.0210;2.7000;13.5100;14.9700;3.1600;0.6700;52.1900;40.8200;27.8800;52.1900;23.9800;18.4100;60.5100;32.3800;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200;41.4200
23;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;37.0800;75.1800;31.3600;64.6600;57.1300;33.6700;35.7100;34.6600;10.2500;37.4600;0.0000;35.9200;10.8000;36.0100;10.9000;78.9300;63.3400;24.7800;69.7700;14.8100;4.9400;5.9900;10.5900;11.4700;37.1700;50.9700;26.0000;37.4800;38.1300;75.6700;64.9400;36.3900;75.6700;23.3000;35.0200;84.4900;24.6900;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100;5.7100
24;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;31.8900;55.7500;43.6700;45.2300;54.7000;57.1100;0.2100;3.3600;44.2400;3.6000;35.9200;0.0000;44.8000;0.2300;44.9600;100.1500;82.8000;33.6300;95.3600;23.0800;38.9300;37.9700;41.6900;45.4600;1.6700;17.1100;13.1400;2.1500;4.2700;55.7900;44.4200;28.7100;55.7900;24.8100;19.2400;64.1100;33.5400;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900;39.5900
25;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;43.8210;82.5810;36.5600;71.8910;64.5310;38.8700;44.8800;43.8300;1.0400;46.6300;10.8000;44.8000;0.0000;44.7700;1.3900;80.4300;64.8500;30.6010;66.3400;21.7200;5.8700;16.2500;18.9800;1.9800;46.3400;59.2600;32.9100;44.3900;46.5600;82.1310;70.7610;42.2110;82.1310;29.1210;40.8410;90.4510;30.5110;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800;5.5800
26;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;32.0600;55.8400;43.8400;45.3200;54.7900;57.2800;0.3000;3.4500;44.2100;3.3700;36.0100;0.2300;44.7700;0.0000;44.9300;100.3200;82.7700;33.6000;95.3300;23.0500;38.9000;37.9400;41.6600;45.4300;1.7600;16.8800;13.1100;2.1200;4.0400;55.5600;44.1900;28.6800;55.5600;24.7800;19.2100;63.8800;33.5100;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600;39.5600
27;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;43.9510;82.7110;37.3500;72.0210;64.6610;39.7200;45.0400;43.9900;0.8200;46.4310;10.9000;44.9600;1.3900;44.9300;0.0000;79.2400;63.6500;30.7310;65.1500;21.8800;6.0300;16.4100;19.1100;1.1100;46.5000;59.4200;33.0700;44.5500;46.7200;82.2610;70.8910;42.3410;82.2610;29.2510;40.9710;90.5810;30.6410;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700;6.3700
28;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;72.9400;73.8900;56.4800;69.5900;70.8100;51.0200;100.3600;102.9400;79.5400;99.7500;78.9300;100.1500;80.4300;100.3200;79.2400;0.0000;28.0000;74.0100;33.4600;81.8400;79.8500;84.7100;89.3100;78.4500;101.8200;101.8100;91.1800;99.4900;99.5500;73.4000;69.9100;79.4700;73.4000;79.5600;81.3600;61.0500;75.9000;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400;79.2400
29;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;55.1600;53.0000;40.8900;43.3700;44.5900;35.4300;82.8800;85.5800;63.9500;81.9700;63.3400;82.8000;64.8500;82.7700;63.6500;28.0000;0.0000;59.8700;36.0400;66.2600;64.2700;69.1300;73.7300;62.8700;84.1000;75.5800;75.6000;81.7000;81.7600;53.4900;43.6800;61.6800;53.4900;65.4200;63.5700;52.0600;59.4500;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600;63.6600
30;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;15.4400;54.2000;18.9800;43.6700;36.1500;30.9800;33.7100;32.6600;30.0110;32.4700;24.7800;33.6300;30.6010;33.6000;30.7310;74.0100;59.8700;0.0000;72.8100;11.5600;27.4100;25.5500;29.2700;31.4210;35.1700;41.6200;20.9000;32.3700;33.0400;54.0300;42.5400;21.9500;54.0300;9.2800;21.0000;62.2300;2.1300;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700;28.0700
31;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;74.2700;84.6100;57.8100;74.9100;75.1100;44.3700;95.4400;94.3900;65.4500;95.2100;69.7700;95.3600;66.3400;95.3300;65.1500;33.4600;36.0400;72.8100;0.0000;73.5100;69.7900;75.7600;80.3600;64.3600;96.9000;104.6600;82.8500;94.3200;94.9900;84.1200;75.3500;80.7700;84.1200;71.2300;82.6900;76.6600;72.6200;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000;69.5000
