10;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
11;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
12;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.4900;21.1200;55.1700;34.9700;24.9700;22.4400;42.7300;20.5800;22.7000;40.0100;8.8300;46.9600;56.0700;7.7800;15.7700;1.3500;45.2600;6.4600;15.2500;41.7900;40.0000;37.1800;37.1800;1.8300;4.7900;68.5600;65.2200;81.5600;11.2000;23.0800;14.2200;12.9200;8.0300;16.3200;18.7400;4.0700;11.8100;39.3300;49.5700;38.1200;68.9600;31.9100;36.3300;30.3100;77.9700;32.7000;26.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
13;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;0.0000;0.6300;34.7000;14.5000;4.4800;8.4600;22.9600;0.0900;12.7800;25.1300;25.6800;28.5800;37.6800;23.9100;7.3400;19.9200;26.3700;25.6200;6.2400;26.9100;25.1200;22.3000;22.3000;21.4700;24.7000;61.4300;57.9900;74.4200;11.5400;19.4500;6.2700;11.0700;15.4300;6.4100;12.8200;21.7400;14.7700;25.8700;36.4700;18.5000;49.2800;11.4400;19.1700;9.8400;58.2900;29.5200;6.4300;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900;20.4900
14;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;0.6300;0.0000;34.2900;14.0900;4.1000;9.0700;23.5600;0.5400;13.4100;24.5000;26.3100;28.1700;37.2700;24.5400;7.9700;20.5500;25.9600;26.2500;6.8700;26.2800;24.4900;21.6700;21.6700;22.1000;25.3300;62.0600;58.6200;75.0500;12.1700;20.0800;6.9000;11.7000;16.0600;7.0400;13.4500;22.3700;15.4000;25.2400;37.1000;18.0900;49.9100;11.0300;18.7600;9.4300;58.9200;30.1500;6.0200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200;21.1200
15;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;34.7000;34.2900;0.0000;20.8100;33.7300;43.1400;32.5500;34.6100;41.4100;21.0500;60.3800;13.2400;5.7600;58.5900;42.0400;54.6200;14.4000;60.3000;40.9400;21.8900;20.5200;23.3300;23.3300;56.1700;59.3110;91.1300;87.7900;104.1300;46.2400;54.1500;40.9500;45.7500;50.1300;41.1100;47.5200;56.4400;49.4700;20.7600;46.0700;25.8200;29.7400;23.2600;24.0300;31.9200;41.9800;48.0700;28.4500;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700;55.1700
16;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;14.5000;14.0900;20.8100;0.0000;13.5300;22.9400;17.6500;14.4100;27.2800;26.5800;40.1800;28.1700;26.5700;38.3900;21.8400;34.4200;25.7400;40.1000;20.7400;28.5300;26.7400;27.7900;27.7900;35.9700;39.1110;74.1300;70.7900;87.1300;26.0400;33.9500;20.7500;25.5500;29.9300;20.9100;27.3200;36.2400;29.2700;25.2500;31.1600;8.9400;42.0600;3.0600;9.6100;11.7200;52.9800;31.0700;8.2500;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700;34.9700
17;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;4.4800;4.1000;33.7300;13.5300;0.0000;12.9200;26.2400;4.3900;17.2600;23.0900;30.1600;24.4200;33.5200;28.3900;11.8200;24.4000;22.2100;30.1000;10.7200;25.0000;23.2100;24.3300;24.3300;25.9500;29.1800;65.9100;62.4700;78.9000;16.0200;23.9300;10.7500;15.5500;19.9100;10.8900;17.3000;26.2200;19.2500;21.7600;39.7500;17.5300;52.5600;10.4700;18.2000;8.8700;61.5700;34.0000;5.4600;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700;24.9700
18;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;8.4600;9.0700;43.1400;22.9400;12.9200;0.0000;25.5600;8.5300;20.5300;33.5700;27.1700;37.0200;46.1200;25.8900;8.9700;22.3800;34.8100;27.6000;13.9900;35.3500;33.5600;30.7400;30.7400;23.8200;26.7500;63.8900;60.4500;76.8800;17.5000;27.2000;8.7300;13.5300;17.8900;14.1600;20.5700;23.9400;19.7800;34.3100;39.7800;18.9900;51.8800;19.8800;19.2500;18.2800;60.8900;28.3100;14.8700;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400;22.4400
19;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;22.9600;23.5600;32.5500;17.6500;26.2400;25.5600;0.0000;23.0200;35.0200;40.3700;47.9200;41.9200;38.3100;46.1500;29.5800;42.1600;39.4900;47.8600;28.4800;42.2800;40.4900;41.6100;41.6100;43.7100;46.9400;68.9600;65.6200;81.9600;33.7800;41.6900;28.5100;33.3100;37.6700;28.6500;35.0600;43.9800;37.0100;39.0400;14.2200;10.3100;27.0300;16.9300;8.5200;24.4500;36.0400;25.9000;20.9800;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300;42.7300
20;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;0.0900;0.5400;34.6100;14.4100;4.3900;8.5300;23.0200;0.0000;12.8700;25.0400;25.7700;28.4900;37.5900;24.0000;7.4300;20.0100;26.2800;25.7100;6.3300;26.8200;25.0300;22.2100;22.2100;21.5600;24.7900;61.5200;58.0800;74.5100;11.6300;19.5400;6.3600;11.1600;15.5200;6.5000;12.9100;21.8300;14.8600;25.7800;36.5600;18.4100;49.3700;11.3500;19.0800;9.7500;58.3800;29.6100;6.3400;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800;20.5800
21;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;12.7800;13.4100;41.4100;27.2800;17.2600;20.5300;35.0200;12.8700;0.0000;22.6400;30.9900;29.2100;38.3200;29.8700;18.4200;21.3500;27.0100;28.1600;7.4500;24.4200;22.6300;19.8100;19.8100;22.8300;27.1800;71.8400;68.4000;84.8300;12.7500;16.4100;16.9400;13.3600;23.9100;6.7200;12.4200;22.9500;15.9800;22.0300;48.6000;30.5700;61.4100;24.2200;28.7800;22.6200;70.4200;40.3900;19.2100;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000;22.7000
22;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;25.1300;24.5000;21.0500;26.5800;23.0900;33.5700;40.3700;25.0400;22.6400;0.0000;48.3000;9.0300;18.1300;47.1800;32.4700;38.6600;6.8200;45.4700;24.7600;2.3200;0.5300;2.8300;2.8300;40.1400;44.4900;86.5600;83.1200;99.5500;29.8000;34.5300;31.4000;30.4100;40.5600;23.6900;31.0800;40.2600;33.0300;1.3300;53.8200;31.6000;46.9500;23.5200;32.2700;20.2500;59.1900;53.7300;23.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100;40.0100
23;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;25.6800;26.3100;60.3800;40.1800;30.1600;27.1700;47.9200;25.7700;30.9900;48.3000;0.0000;54.2600;63.3600;1.8200;20.5300;9.6400;52.0500;2.8300;23.5400;50.0800;48.2900;45.4700;45.4700;9.3800;4.8800;61.9000;58.4600;74.8900;19.5200;31.4500;19.4600;21.2100;10.2500;24.6100;27.0600;11.1800;20.1300;47.6200;54.7800;43.3600;74.2000;37.1200;41.5700;35.5200;83.2100;37.9100;32.1100;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300;8.8300
24;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;28.5800;28.1700;13.2400;28.1700;24.4200;37.0200;41.9200;28.4900;29.2100;9.0300;54.2600;0.0000;10.3700;52.4900;35.9200;45.6100;2.4300;52.4200;31.7100;9.9200;8.5500;11.3600;11.3600;47.0900;51.4400;90.0100;86.5700;103.0000;37.0100;42.5500;34.8500;37.6200;44.0100;30.9800;38.2900;47.2100;40.2400;8.7900;55.6100;33.2400;39.1900;25.1600;34.0300;21.8900;51.4300;55.3700;24.6500;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600;46.9600
25;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;37.6800;37.2700;5.7600;26.5700;33.5200;46.1200;38.3100;37.5900;38.3200;18.1300;63.3600;10.3700;0.0000;61.5900;45.0200;54.7200;11.5400;61.5300;40.8200;19.0300;17.6600;20.4700;20.4700;56.2000;60.5500;96.8900;93.5500;109.8900;46.1200;51.6600;43.9500;46.7300;53.1100;40.0900;47.4000;56.3200;49.3500;17.9000;50.8900;31.5800;31.8400;29.0200;29.7900;31.0000;44.0800;53.8300;33.7600;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700;56.0700
26;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;23.9100;24.5400;58.5900;38.3900;28.3900;25.8900;46.1500;24.0000;29.8700;47.1800;1.8200;52.4900;61.5900;0.0000;18.7100;8.5200;50.2800;1.7100;22.4200;48.9600;47.1700;44.3500;44.3500;8.2600;3.7600;62.8700;59.4300;75.8600;18.4000;30.3300;17.6400;20.0900;8.6400;23.4900;25.9400;10.0600;19.0100;46.5000;52.9600;41.5400;72.3800;35.3300;39.7500;33.7300;81.3900;36.0900;30.3200;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800;7.7800
