Pillac_TRSP_U6

INFO
CREW COUNT  SKILLS    TOOLS   SPARE PARTS
       18        0        0             0

DEPOT TECHNICIANS AND REQUESTS
ID           X        Y     TWS     TWE    Serv     SKILLS   TOOLS    SPARE PARTS
0          0.0      0.0   420.0  1140.0     0.0 	[] 	[] 	[]
73         0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
74         0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
75         0.0      0.0     0.0   698.0    45.0 	[] 	[] 	[]
76         0.0      0.0     0.0   699.0    45.0 	[] 	[] 	[]
77         0.0      0.0     0.0   717.0    45.0 	[] 	[] 	[]
78         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
79         0.0      0.0     0.0   633.0    45.0 	[] 	[] 	[]
80         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
81         0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
82         0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
83         0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
84         0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
85         0.0      0.0   885.0   900.0    90.0 	[] 	[] 	[]
86         0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
87         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
88         0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
89         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
90         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
91         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
92         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
93         0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
94         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
95         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
96         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
97         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
98         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
99         0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
100        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
101        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
102        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
103        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
104        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
105        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
106        0.0      0.0     0.0   947.0    45.0 	[] 	[] 	[]
107        0.0      0.0     0.0   902.0    45.0 	[] 	[] 	[]
108        0.0      0.0     0.0   900.0    45.0 	[] 	[] 	[]
109        0.0      0.0     0.0  1039.0    45.0 	[] 	[] 	[]
110        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
111        0.0      0.0     0.0  1199.0    45.0 	[] 	[] 	[]
112        0.0      0.0     0.0  1074.0    45.0 	[] 	[] 	[]
113        0.0      0.0     0.0   716.0    45.0 	[] 	[] 	[]
114        0.0      0.0     0.0   879.0    45.0 	[] 	[] 	[]
115        0.0      0.0     0.0  1300.0    45.0 	[] 	[] 	[]
116        0.0      0.0     0.0  1080.0    45.0 	[] 	[] 	[]
117        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
118        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
119        0.0      0.0   585.0   600.0    45.0 	[] 	[] 	[]
120        0.0      0.0   525.0   540.0    45.0 	[] 	[] 	[]
121        0.0      0.0   555.0   570.0    45.0 	[] 	[] 	[]
122        0.0      0.0   825.0   840.0    45.0 	[] 	[] 	[]
123        0.0      0.0     0.0  1440.0    45.0 	[] 	[] 	[]
124        0.0      0.0     0.0  1440.0    90.0 	[] 	[] 	[]
125        0.0      0.0   945.0   960.0    45.0 	[] 	[] 	[]
126        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
127        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
128        0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
129        0.0      0.0   765.0   780.0    45.0 	[] 	[] 	[]
130        0.0      0.0   645.0   660.0    45.0 	[] 	[] 	[]
131        0.0      0.0   885.0   900.0    45.0 	[] 	[] 	[]
DISTANCES
0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
6;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
7;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
8;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
9;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.5200;11.6400;25.1900;9.7500;5.6500;33.6200;13.5900;10.6000;15.4200;6.2700;3.2800;4.2000;15.3900;7.1200;16.5700;12.2100;14.4400;12.4600;35.0900;15.1900;6.4000;31.8200;16.5500;11.7200;9.8000;11.5900;2.7100;13.3500;12.3400;11.4100;19.4800;8.5600;1.2900;26.6900;5.6000;6.9400;10.3400;31.4700;27.7300;8.0300;10.3600;8.0300;8.6700;16.6600;10.7200;13.3700;9.0100;13.1400;31.4700;12.6900;9.8100;30.9800;12.4900;13.3700;8.1200;1.8400;6.3300;25.1900;6.2300;13.3000;9.9900;11.0900;12.9400;19.9400;13.4400;7.8700;13.3500;6.6100;11.1500;8.7000;16.1100;9.3500;9.6100;9.3800;8.5500;9.9000;10.0600;12.2100;7.9100;15.8100;9.7300;12.1200;14.2100;12.1200;12.1200;12.1200;8.7600;14.5400;15.8700;10.1800;8.2800;8.6000;8.3200;8.0500;2.6600;8.2400;10.3300;11.1100;11.6800;11.1900;17.2700;5.8700;14.5800;4.7000;10.1600;8.5200;10.6700;6.8400;7.7900;10.8600;10.2300;6.1100;6.2400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
