10;71.4700;71.4700;71.4700;71.4700;71.4700;19.3900;16.1400;0.2600;14.6700;51.5700;0.0000;5.8800;77.2000;71.2800;74.7110;65.5500;66.4500;60.0200;69.7300;75.6000;50.5100;63.8800;51.1200;71.4700;71.4700;71.4700;71.4700;71.4700;71.4700;71.4700;71.4700
11;76.3700;76.3700;76.3700;76.3700;76.3700;24.2300;11.0200;5.6200;20.1100;56.4000;5.8800;0.0000;82.1000;76.1800;79.6110;70.4500;71.3500;64.9200;74.6300;80.5000;55.4100;68.7800;56.0200;76.3700;76.3700;76.3700;76.3700;76.3700;76.3700;76.3700;76.3700
12;6.8200;6.8200;6.8200;6.8200;6.8200;83.4700;92.4000;76.9400;79.3200;27.7300;77.2000;82.1000;0.0000;21.2200;3.5000;12.1400;13.3200;19.4600;7.4700;2.0900;50.8310;49.9400;52.3210;6.8200;6.8200;6.8200;6.8200;6.8200;6.8200;6.8200;6.8200
13;16.6400;16.6400;16.6400;16.6400;16.6400;77.5500;86.4800;71.0200;72.5900;21.8100;71.2800;76.1800;21.2200;0.0000;18.9600;17.7300;10.4700;13.7200;16.1400;21.3600;46.6200;35.4000;48.1100;16.6400;16.6400;16.6400;16.6400;16.6400;16.6400;16.6400;16.6400
14;4.7100;4.7100;4.7100;4.7100;4.7100;80.9810;89.9110;74.4510;76.0210;25.2410;74.7110;79.6110;3.5000;18.9600;0.0000;10.2000;11.2200;17.3600;5.3700;2.6200;48.6010;47.8400;50.0910;4.7100;4.7100;4.7100;4.7100;4.7100;4.7100;4.7100;4.7100
15;7.9400;7.9400;7.9400;7.9400;7.9400;71.8200;80.7500;65.2900;67.6700;16.0800;65.5500;70.4500;12.1400;17.7300;10.2000;0.0000;8.7200;14.8600;7.4900;10.0500;44.9500;45.3400;45.5500;7.9400;7.9400;7.9400;7.9400;7.9400;7.9400;7.9400;7.9400
16;7.5900;7.5900;7.5900;7.5900;7.5900;72.7200;81.6500;66.1900;67.7600;16.9800;66.4500;71.3500;13.3200;10.4700;11.2200;8.7200;0.0000;8.3600;5.8500;13.5200;41.7300;37.6500;43.2200;7.5900;7.5900;7.5900;7.5900;7.5900;7.5900;7.5900;7.5900
17;13.7300;13.7300;13.7300;13.7300;13.7300;66.2900;75.2200;59.7600;61.3300;10.5500;60.0200;64.9200;19.4600;13.7200;17.3600;14.8600;8.3600;0.0000;11.9900;19.6600;35.3100;37.4700;36.8000;13.7300;13.7300;13.7300;13.7300;13.7300;13.7300;13.7300;13.7300
18;1.7400;1.7400;1.7400;1.7400;1.7400;76.0000;84.9300;69.4700;71.8500;20.2600;69.7300;74.6300;7.4700;16.1400;5.3700;7.4900;5.8500;11.9900;0.0000;7.6700;45.3600;42.4700;46.8500;1.7400;1.7400;1.7400;1.7400;1.7400;1.7400;1.7400;1.7400
19;7.0500;7.0500;7.0500;7.0500;7.0500;81.8700;90.8000;75.3400;77.7200;26.1300;75.6000;80.5000;2.0900;21.3600;2.6200;10.0500;13.5200;19.6600;7.6700;0.0000;50.9410;50.1400;52.4310;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500;7.0500
20;47.1000;47.1000;47.1000;47.1000;47.1000;62.1900;65.7100;50.2500;57.4600;28.8700;50.5100;55.4100;50.8310;46.6200;48.6010;44.9500;41.7300;35.3100;45.3600;50.9410;0.0000;17.5300;1.4900;47.1000;47.1000;47.1000;47.1000;47.1000;47.1000;47.1000;47.1000
21;44.2100;44.2100;44.2100;44.2100;44.2100;75.5600;79.0800;63.6200;70.8300;33.6000;63.8800;68.7800;49.9400;35.4000;47.8400;45.3400;37.6500;37.4700;42.4700;50.1400;17.5300;0.0000;16.5600;44.2100;44.2100;44.2100;44.2100;44.2100;44.2100;44.2100;44.2100
22;48.5900;48.5900;48.5900;48.5900;48.5900;62.8000;66.3200;50.8600;58.0700;29.4700;51.1200;56.0200;52.3210;48.1100;50.0910;45.5500;43.2200;36.8000;46.8500;52.4310;1.4900;16.5600;0.0000;48.5900;48.5900;48.5900;48.5900;48.5900;48.5900;48.5900;48.5900
23;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
24;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
25;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
26;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
27;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
28;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
29;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
30;0.0000;0.0000;0.0000;0.0000;0.0000;77.7400;86.6700;71.2100;72.8800;21.4100;71.4700;76.3700;6.8200;16.6400;4.7100;7.9400;7.5900;13.7300;1.7400;7.0500;47.1000;44.2100;48.5900;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
TRAVEL TIMES
0;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
1;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
2;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
3;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
4;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
5;68.4667;68.4667;68.4667;68.4667;68.4667;0.0000;31.8167;22.1333;7.3000;51.0500;22.5500;29.0833;69.2667;68.0833;65.3667;64.2833;66.0833;59.6500;67.2667;68.9167;60.5000;74.9667;62.6667;68.4667;68.4667;68.4667;68.4667;68.4667;68.4667;68.4667;68.4667
6;82.8333;82.8333;82.8333;82.8333;82.8333;31.8167;0.0000;18.6833;24.5167;65.4167;19.1000;14.2667;83.6333;82.4500;79.7333;78.6500;80.4500;74.0167;81.6333;83.2833;62.5167;76.9833;64.6833;82.8333;82.8333;82.8333;82.8333;82.8333;82.8333;82.8333;82.8333
7;64.8167;64.8167;64.8167;64.8167;64.8167;22.1333;18.6833;0.0000;18.8000;47.4000;0.4167;7.7333;65.6167;64.4333;61.7167;60.6333;62.4333;56.0000;63.6167;65.2667;44.5000;58.9833;46.6667;64.8167;64.8167;64.8167;64.8167;64.8167;64.8167;64.8167;64.8167
8;69.0833;69.0833;69.0833;69.0833;69.0833;7.3000;24.5167;18.8000;0.0000;51.6667;19.2167;23.6333;69.8833;68.7000;65.9833;65.0500;66.7000;60.2667;68.0333;69.5333;57.5000;71.9667;59.6667;69.0833;69.0833;69.0833;69.0833;69.0833;69.0833;69.0833;69.0833
9;21.9667;21.9667;21.9667;21.9667;21.9667;51.0500;65.4167;47.4000;51.6667;0.0000;47.8167;54.3500;22.7667;21.5833;18.8667;17.7833;19.5833;13.1500;20.7667;22.4167;28.0667;32.2167;30.2000;21.9667;21.9667;21.9667;21.9667;21.9667;21.9667;21.9667;21.9667
10;65.2333;65.2333;65.2333;65.2333;65.2333;22.5500;19.1000;0.4167;19.2167;47.8167;0.0000;8.1500;66.0333;64.8500;62.1333;61.0500;62.8500;56.4167;64.0333;65.6833;44.9167;59.4000;47.0833;65.2333;65.2333;65.2333;65.2333;65.2333;65.2333;65.2333;65.2333
11;71.8333;71.8333;71.8333;71.8333;71.8333;29.0833;14.2667;7.7333;23.6333;54.3500;8.1500;0.0000;72.6333;71.4500;68.7333;67.6500;69.4500;63.0167;70.6333;72.2833;51.5167;66.0000;53.6833;71.8333;71.8333;71.8333;71.8333;71.8333;71.8333;71.8333;71.8333
12;11.9167;11.9167;11.9167;11.9167;11.9167;69.2667;83.6333;65.6167;69.8833;22.7667;66.0333;72.6333;0.0000;20.9833;8.0333;16.8167;19.8833;24.8500;13.4333;6.5500;41.0333;45.2167;43.3167;11.9167;11.9167;11.9167;11.9167;11.9167;11.9167;11.9167;11.9167
13;18.2500;18.2500;18.2500;18.2500;18.2500;68.0833;82.4500;64.4333;68.7000;21.5833;64.8500;71.4500;20.9833;0.0000;16.6500;18.3833;12.4500;15.1000;14.3000;20.2000;40.3167;28.8333;42.5667;18.2500;18.2500;18.2500;18.2500;18.2500;18.2500;18.2500;18.2500
14;7.4667;7.4667;7.4667;7.4667;7.4667;65.3667;79.7333;61.7167;65.9833;18.8667;62.1333;68.7333;8.0333;16.6500;0.0000;11.9667;15.4333;20.4000;9.0333;5.4500;36.4667;40.6167;38.7167;7.4667;7.4667;7.4667;7.4667;7.4667;7.4667;7.4667;7.4667
15;10.7000;10.7000;10.7000;10.7000;10.7000;64.2833;78.6500;60.6333;65.0500;17.7833;61.0500;67.6500;16.8167;18.3833;11.9667;0.0000;11.8500;16.8167;8.8333;13.7333;42.9667;45.6000;45.2500;10.7000;10.7000;10.7000;10.7000;10.7000;10.7000;10.7000;10.7000
16;12.7500;12.7500;12.7500;12.7500;12.7500;66.0833;80.4500;62.4333;66.7000;19.5833;62.8500;69.4500;19.8833;12.4500;15.4333;11.8500;0.0000;12.4000;8.4833;18.4333;38.2167;39.0167;40.5000;12.7500;12.7500;12.7500;12.7500;12.7500;12.7500;12.7500;12.7500
17;17.7167;17.7167;17.7167;17.7167;17.7167;59.6500;74.0167;56.0000;60.2667;13.1500;56.4167;63.0167;24.8500;15.1000;20.4000;16.8167;12.4000;0.0000;13.4500;23.4000;31.7833;34.9167;34.0667;17.7167;17.7167;17.7167;17.7167;17.7167;17.7167;17.7167;17.7167
18;5.4000;5.4000;5.4000;5.4000;5.4000;67.2667;81.6333;63.6167;68.0333;20.7667;64.0333;70.6333;13.4333;14.3000;9.0333;8.8333;8.4833;13.4500;0.0000;11.9167;39.2500;42.2167;41.5333;5.4000;5.4000;5.4000;5.4000;5.4000;5.4000;5.4000;5.4000
19;10.9333;10.9333;10.9333;10.9333;10.9333;68.9167;83.2833;65.2667;69.5333;22.4167;65.6833;72.2833;6.5500;20.2000;5.4500;13.7333;18.4333;23.4000;11.9167;0.0000;39.9000;44.0833;42.1833;10.9333;10.9333;10.9333;10.9333;10.9333;10.9333;10.9333;10.9333
20;40.0333;40.0333;40.0333;40.0333;40.0333;60.5000;62.5167;44.5000;57.5000;28.0667;44.9167;51.5167;41.0333;40.3167;36.4667;42.9667;38.2167;31.7833;39.2500;39.9000;0.0000;18.3833;5.0833;40.0333;40.0333;40.0333;40.0333;40.0333;40.0333;40.0333;40.0333
21;44.0500;44.0500;44.0500;44.0500;44.0500;74.9667;76.9833;58.9833;71.9667;32.2167;59.4000;66.0000;45.2167;28.8333;40.6167;45.6000;39.0167;34.9167;42.2167;44.0833;18.3833;0.0000;19.3167;44.0500;44.0500;44.0500;44.0500;44.0500;44.0500;44.0500;44.0500
22;42.4000;42.4000;42.4000;42.4000;42.4000;62.6667;64.6833;46.6667;59.6667;30.2000;47.0833;53.6833;43.3167;42.5667;38.7167;45.2500;40.5000;34.0667;41.5333;42.1833;5.0833;19.3167;0.0000;42.4000;42.4000;42.4000;42.4000;42.4000;42.4000;42.4000;42.4000
23;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
24;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
25;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
26;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
27;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
28;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
29;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
30;0.0000;0.0000;0.0000;0.0000;0.0000;68.4667;82.8333;64.8167;69.0833;21.9667;65.2333;71.8333;11.9167;18.2500;7.4667;10.7000;12.7500;17.7167;5.4000;10.9333;40.0333;44.0500;42.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
