 Data of New LSVRP No. [1] with 240 Customers

 Vehicle capacity = 550      Route-length Limit = 650

 Point   --- x ---   --- y ---   ---q---
   81     90.0000       .0000     10.0000
   82     88.8920     14.0791     30.0000
   83     85.5951     27.8115     30.0000
   84     80.1906     40.8591     10.0000
   85     72.8115     52.9007     10.0000
   86     63.6396     63.6396     30.0000
   87     52.9007     72.8115     30.0000
   88     40.8591     80.1906     10.0000
   89     27.8115     85.5951     10.0000
   90     14.0791     88.8920     30.0000
   91       .0000     90.0000     30.0000
   92    -14.0791     88.8920     10.0000
   93    -27.8115     85.5951     10.0000
   94    -40.8591     80.1906     30.0000
   95    -52.9007     72.8115     30.0000
   96    -63.6396     63.6396     10.0000
   97    -72.8115     52.9007     10.0000
   98    -80.1906     40.8591     30.0000
   99    -85.5951     27.8115     30.0000
  100    -88.8920     14.0791     10.0000
  101    -90.0000       .0000     10.0000
  102    -88.8920    -14.0791     30.0000
  103    -85.5951    -27.8115     30.0000
  104    -80.1906    -40.8592     10.0000
  105    -72.8115    -52.9007     10.0000
  106    -63.6396    -63.6396     30.0000
  107    -52.9007    -72.8115     30.0000
  108    -40.8591    -80.1906     10.0000
  109    -27.8115    -85.5951     10.0000
  110    -14.0791    -88.8920     30.0000
  111       .0000    -90.0000     30.0000
  112     14.0791    -88.8920     10.0000
  113     27.8115    -85.5951     10.0000
  114     40.8592    -80.1906     30.0000
  115     52.9007    -72.8115     30.0000
  116     63.6396    -63.6396     10.0000
  117     72.8115    -52.9007     10.0000
  118     80.1906    -40.8591     30.0000
  119     85.5951    -27.8115     30.0000
  120     88.8920    -14.0791     10.0000
  121    120.0000       .0000     10.0000
  122    118.5226     18.7721     30.0000
  123    114.1268     37.0820     30.0000
  124    106.9208     54.4789     10.0000
  125     97.0820     70.5342     10.0000
  126     84.8528     84.8528     30.0000
  127     70.5342     97.0820     30.0000
  128     54.4789    106.9208     10.0000
  129     37.0820    114.1268     10.0000
  130     18.7721    118.5226     30.0000
  131       .0000    120.0000     30.0000
  132    -18.7721    118.5226     10.0000
  133    -37.0820    114.1268     10.0000
  134    -54.4789    106.9208     30.0000
  135    -70.5342     97.0820     30.0000
  136    -84.8528     84.8528     10.0000
  137    -97.0820     70.5342     10.0000
  138   -106.9208     54.4789     30.0000
  139   -114.1268     37.0820     30.0000
  140   -118.5226     18.7721     10.0000
  141   -120.0000       .0000     10.0000
  142   -118.5226    -18.7721     30.0000
  143   -114.1268    -37.0821     30.0000
  144   -106.9208    -54.4789     10.0000
  145    -97.0820    -70.5342     10.0000
  146    -84.8528    -84.8528     30.0000
  147    -70.5342    -97.0820     30.0000
  148    -54.4788   -106.9208     10.0000
  149    -37.0820   -114.1268     10.0000
  150    -18.7721   -118.5226     30.0000
  151       .0000   -120.0000     30.0000
  152     18.7722   -118.5226     10.0000
  153     37.0821   -114.1268     10.0000
  154     54.4789   -106.9208     30.0000
  155     70.5342    -97.0820     30.0000
  156     84.8528    -84.8528     10.0000
  157     97.0821    -70.5342     10.0000
  158    106.9208    -54.4788     30.0000
  159    114.1268    -37.0820     30.0000
  160    118.5226    -18.7721     10.0000
  161    150.0000       .0000     10.0000
  162    148.1532     23.4652     30.0000
  163    142.6585     46.3526     30.0000
  164    133.6510     68.0986     10.0000
  165    121.3525     88.1678     10.0000
  166    106.0660    106.0660     30.0000
  167     88.1678    121.3526     30.0000
  168     68.0986    133.6510     10.0000
  169     46.3525    142.6585     10.0000
  170     23.4652    148.1533     30.0000
  171       .0000    150.0000     30.0000
  172    -23.4652    148.1532     10.0000
  173    -46.3526    142.6585     10.0000
  174    -68.0986    133.6510     30.0000
  175    -88.1678    121.3525     30.0000
  176   -106.0660    106.0660     10.0000
  177   -121.3526     88.1678     10.0000
  178   -133.6510     68.0986     30.0000
  179   -142.6585     46.3525     30.0000
  180   -148.1533     23.4652     10.0000
  181   -150.0000       .0000     10.0000
  182   -148.1532    -23.4652     30.0000
  183   -142.6585    -46.3526     30.0000
  184   -133.6510    -68.0986     10.0000
  185   -121.3525    -88.1678     10.0000
  186   -106.0660   -106.0660     30.0000
  187    -88.1678   -121.3526     30.0000
  188    -68.0986   -133.6510     10.0000
  189    -46.3525   -142.6585     10.0000
  190    -23.4652   -148.1533     30.0000
  191       .0000   -150.0000     30.0000
  192     23.4652   -148.1532     10.0000
  193     46.3526   -142.6585     10.0000
  194     68.0986   -133.6510     30.0000
  195     88.1678   -121.3525     30.0000
  196    106.0660   -106.0660     10.0000
  197    121.3526    -88.1678     10.0000
  198    133.6510    -68.0986     30.0000
  199    142.6585    -46.3525     30.0000
  200    148.1533    -23.4651     10.0000
  201    180.0000       .0000     10.0000
  202    177.7839     28.1582     30.0000
  203    171.1902     55.6231     30.0000
  204    160.3812     81.7183     10.0000
  205    145.6231    105.8013     10.0000
  206    127.2792    127.2792     30.0000
  207    105.8013    145.6231     30.0000
  208     81.7183    160.3812     10.0000
  209     55.6231    171.1902     10.0000
  210     28.1582    177.7839     30.0000
  211       .0000    180.0000     30.0000
  212    -28.1582    177.7839     10.0000
  213    -55.6231    171.1902     10.0000
  214    -81.7183    160.3812     30.0000
  215   -105.8014    145.6230     30.0000
  216   -127.2792    127.2792     10.0000
  217   -145.6231    105.8013     10.0000
  218   -160.3812     81.7183     30.0000
  219   -171.1902     55.6230     30.0000
  220   -177.7839     28.1582     10.0000
  221   -180.0000       .0000     10.0000
  222   -177.7839    -28.1582     30.0000
  223   -171.1902    -55.6231     30.0000
  224   -160.3812    -81.7183     10.0000
  225   -145.6230   -105.8014     10.0000
  226   -127.2792   -127.2792     30.0000
  227   -105.8013   -145.6231     30.0000
  228    -81.7183   -160.3812     10.0000
  229    -55.6230   -171.1902     10.0000
  230    -28.1582   -177.7839     30.0000
  231       .0000   -180.0000     30.0000
  232     28.1582   -177.7839     10.0000
  233     55.6231   -171.1902     10.0000
  234     81.7183   -160.3812     30.0000
  235    105.8014   -145.6230     30.0000
  236    127.2792   -127.2792     10.0000
  237    145.6231   -105.8013     10.0000
  238    160.3812    -81.7183     30.0000
  239    171.1902    -55.6230     30.0000
  240    177.7839    -28.1582     10.0000
depot       .0000       .0000       .0000

XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX

 Data of New LSVRP No. [2] with 320 Customers
 Vehicle capacity = 700      Route-length Limit = 900
 Point   --- x ---   --- y ---   ---q---
    1     30.0000       .0000     10.0000
    2     29.6306      4.6930     30.0000
    3     28.5317      9.2705     30.0000
    4     26.7302     13.6197     10.0000
    5     24.2705     17.6336     10.0000
    6     21.2132     21.2132     30.0000
    7     17.6336     24.2705     30.0000
    8     13.6197     26.7302     10.0000
    9      9.2705     28.5317     10.0000
   10      4.6930     29.6306     30.0000
   11       .0000     30.0000     30.0000
   12     -4.6930     29.6306     10.0000
   13     -9.2705     28.5317     10.0000
   14    -13.6197     26.7302     30.0000
   15    -17.6336     24.2705     30.0000
   16    -21.2132     21.2132     10.0000
   17    -24.2705     17.6336     10.0000
   18    -26.7302     13.6197     30.0000
   19    -28.5317      9.2705     30.0000
   20    -29.6307      4.6930     10.0000
   21    -30.0000       .0000     10.0000
   22    -29.6306     -4.6930     30.0000
   23    -28.5317     -9.2705     30.0000
   24    -26.7302    -13.6197     10.0000
   25    -24.2705    -17.6336     10.0000
   26    -21.2132    -21.2132     30.0000
   27    -17.6336    -24.2705     30.0000
   28    -13.6197    -26.7302     10.0000
   29     -9.2705    -28.5317     10.0000
   30     -4.6930    -29.6307     30.0000
   31       .0000    -30.0000     30.0000
   32      4.6930    -29.6306     10.0000
   33      9.2705    -28.5317     10.0000
   34     13.6197    -26.7302     30.0000
   35     17.6336    -24.2705     30.0000
   36     21.2132    -21.2132     10.0000
   37     24.2705    -17.6336     10.0000
   38     26.7302    -13.6197     30.0000
   39     28.5317     -9.2705     30.0000
   40     29.6307     -4.6930     10.0000
   41     60.0000       .0000     10.0000
   42     59.2613      9.3861     30.0000
   43     57.0634     18.5410     30.0000
   44     53.4604     27.2394     10.0000
   45     48.5410     35.2671     10.0000
   46     42.4264     42.4264     30.0000
   47     35.2671     48.5410     30.0000
   48     27.2394     53.4604     10.0000
   49     18.5410     57.0634     10.0000
   50      9.3861     59.2613     30.0000
   51       .0000     60.0000     30.0000
   52     -9.3861     59.2613     10.0000
   53    -18.5410     57.0634     10.0000
   54    -27.2394     53.4604     30.0000
   55    -35.2671     48.5410     30.0000
   56    -42.4264     42.4264     10.0000
   57    -48.5410     35.2671     10.0000
   58    -53.4604     27.2394     30.0000
   59    -57.0634     18.5410     30.0000
   60    -59.2613      9.3861     10.0000
   61    -60.0000       .0000     10.0000
   62    -59.2613     -9.3861     30.0000
   63    -57.0634    -18.5410     30.0000
   64    -53.4604    -27.2394     10.0000
   65    -48.5410    -35.2671     10.0000
   66    -42.4264    -42.4264     30.0000
   67    -35.2671    -48.5410     30.0000
   68    -27.2394    -53.4604     10.0000
   69    -18.5410    -57.0634     10.0000
   70     -9.3861    -59.2613     30.0000
   71       .0000    -60.0000     30.0000
   72      9.3861    -59.2613     10.0000
   73     18.5410    -57.0634     10.0000
   74     27.2394    -53.4604     30.0000
   75     35.2671    -48.5410     30.0000
   76     42.4264    -42.4264     10.0000
   77     48.5410    -35.2671     10.0000
   78     53.4604    -27.2394     30.0000
   79     57.0634    -18.5410     30.0000
   80     59.2613     -9.3861     10.0000
   81     90.0000       .0000     10.0000
   82     88.8920     14.0791     30.0000
   83     85.5951     27.8115     30.0000
   84     80.1906     40.8591     10.0000
   85     72.8115     52.9007     10.0000
   86     63.6396     63.6396     30.0000
   87     52.9007     72.8115     30.0000
   88     40.8591     80.1906     10.0000
   89     27.8115     85.5951     10.0000
   90     14.0791     88.8920     30.0000
   91       .0000     90.0000     30.0000
   92    -14.0791     88.8920     10.0000
   93    -27.8115     85.5951     10.0000
   94    -40.8591     80.1906     30.0000
   95    -52.9007     72.8115     30.0000
   96    -63.6396     63.6396     10.0000
   97    -72.8115     52.9007     10.0000
   98    -80.1906     40.8591     30.0000
   99    -85.5951     27.8115     30.0000
  100    -88.8920     14.0791     10.0000
  101    -90.0000       .0000     10.0000
  102    -88.8920    -14.0791     30.0000
  103    -85.5951    -27.8115     30.0000
  104    -80.1906    -40.8592     10.0000
  105    -72.8115    -52.9007     10.0000
  106    -63.6396    -63.6396     30.0000
  107    -52.9007    -72.8115     30.0000
  108    -40.8591    -80.1906     10.0000
  109    -27.8115    -85.5951     10.0000
  110    -14.0791    -88.8920     30.0000
  111       .0000    -90.0000     30.0000
  112     14.0791    -88.8920     10.0000
  113     27.8115    -85.5951     10.0000
  114     40.8592    -80.1906     30.0000
  115     52.9007    -72.8115     30.0000
  116     63.6396    -63.6396     10.0000
  117     72.8115    -52.9007     10.0000
  118     80.1906    -40.8591     30.0000
  119     85.5951    -27.8115     30.0000
  120     88.8920    -14.0791     10.0000
  121    120.0000       .0000     10.0000
  122    118.5226     18.7721     30.0000
  123    114.1268     37.0820     30.0000
  124    106.9208     54.4789     10.0000
  125     97.0820     70.5342     10.0000
  126     84.8528     84.8528     30.0000
  127     70.5342     97.0820     30.0000
  128     54.4789    106.9208     10.0000
  129     37.0820    114.1268     10.0000
  130     18.7721    118.5226     30.0000
  131       .0000    120.0000     30.0000
  132    -18.7721    118.5226     10.0000
  133    -37.0820    114.1268     10.0000
  134    -54.4789    106.9208     30.0000
  135    -70.5342     97.0820     30.0000
  136    -84.8528     84.8528     10.0000
  137    -97.0820     70.5342     10.0000
  138   -106.9208     54.4789     30.0000
  139   -114.1268     37.0820     30.0000
  140   -118.5226     18.7721     10.0000
  141   -120.0000       .0000     10.0000
  142   -118.5226    -18.7721     30.0000
  143   -114.1268    -37.0821     30.0000
  144   -106.9208    -54.4789     10.0000
  145    -97.0820    -70.5342     10.0000
  146    -84.8528    -84.8528     30.0000
  147    -70.5342    -97.0820     30.0000
  148    -54.4788   -106.9208     10.0000
  149    -37.0820   -114.1268     10.0000
  150    -18.7721   -118.5226     30.0000
  151       .0000   -120.0000     30.0000
  152     18.7722   -118.5226     10.0000
  153     37.0821   -114.1268     10.0000
  154     54.4789   -106.9208     30.0000
  155     70.5342    -97.0820     30.0000
  156     84.8528    -84.8528     10.0000
  157     97.0821    -70.5342     10.0000
  158    106.9208    -54.4788     30.0000
  159    114.1268    -37.0820     30.0000
  160    118.5226    -18.7721     10.0000
  161    150.0000       .0000     10.0000
  162    148.1532     23.4652     30.0000
  163    142.6585     46.3526     30.0000
  164    133.6510     68.0986     10.0000
  165    121.3525     88.1678     10.0000
  166    106.0660    106.0660     30.0000
  167     88.1678    121.3526     30.0000
  168     68.0986    133.6510     10.0000
  169     46.3525    142.6585     10.0000
  170     23.4652    148.1533     30.0000
  171       .0000    150.0000     30.0000
  172    -23.4652    148.1532     10.0000
  173    -46.3526    142.6585     10.0000
  174    -68.0986    133.6510     30.0000
  175    -88.1678    121.3525     30.0000
  176   -106.0660    106.0660     10.0000
  177   -121.3526     88.1678     10.0000
  178   -133.6510     68.0986     30.0000
  179   -142.6585     46.3525     30.0000
  180   -148.1533     23.4652     10.0000
  181   -150.0000       .0000     10.0000
  182   -148.1532    -23.4652     30.0000
  183   -142.6585    -46.3526     30.0000
  184   -133.6510    -68.0986     10.0000
  185   -121.3525    -88.1678     10.0000
  186   -106.0660   -106.0660     30.0000
  187    -88.1678   -121.3526     30.0000
  188    -68.0986   -133.6510     10.0000
  189    -46.3525   -142.6585     10.0000
  190    -23.4652   -148.1533     30.0000
  191       .0000   -150.0000     30.0000
  192     23.4652   -148.1532     10.0000
  193     46.3526   -142.6585     10.0000
  194     68.0986   -133.6510     30.0000
  195     88.1678   -121.3525     30.0000
  196    106.0660   -106.0660     10.0000
  197    121.3526    -88.1678     10.0000
  198    133.6510    -68.0986     30.0000
  199    142.6585    -46.3525     30.0000
  200    148.1533    -23.4651     10.0000
  201    180.0000       .0000     10.0000
  202    177.7839     28.1582     30.0000
  203    171.1902     55.6231     30.0000
  204    160.3812     81.7183     10.0000
  205    145.6231    105.8013     10.0000
  206    127.2792    127.2792     30.0000
  207    105.8013    145.6231     30.0000
  208     81.7183    160.3812     10.0000
  209     55.6231    171.1902     10.0000
  210     28.1582    177.7839     30.0000
  211       .0000    180.0000     30.0000
  212    -28.1582    177.7839     10.0000
  213    -55.6231    171.1902     10.0000
  214    -81.7183    160.3812     30.0000
  215   -105.8014    145.6230     30.0000
  216   -127.2792    127.2792     10.0000
  217   -145.6231    105.8013     10.0000
  218   -160.3812     81.7183     30.0000
  219   -171.1902     55.6230     30.0000
  220   -177.7839     28.1582     10.0000
  221   -180.0000       .0000     10.0000
  222   -177.7839    -28.1582     30.0000
  223   -171.1902    -55.6231     30.0000
  224   -160.3812    -81.7183     10.0000
  225   -145.6230   -105.8014     10.0000
  226   -127.2792   -127.2792     30.0000
  227   -105.8013   -145.6231     30.0000
  228    -81.7183   -160.3812     10.0000
  229    -55.6230   -171.1902     10.0000
  230    -28.1582   -177.7839     30.0000
  231       .0000   -180.0000     30.0000
  232     28.1582   -177.7839     10.0000
  233     55.6231   -171.1902     10.0000
  234     81.7183   -160.3812     30.0000
  235    105.8014   -145.6230     30.0000
  236    127.2792   -127.2792     10.0000
  237    145.6231   -105.8013     10.0000
  238    160.3812    -81.7183     30.0000
  239    171.1902    -55.6230     30.0000
  240    177.7839    -28.1582     10.0000
  241    210.0000       .0000     10.0000
  242    207.4146     32.8512     30.0000
  243    199.7219     64.8936     30.0000
  244    187.1114     95.3380     10.0000
  245    169.8936    123.4349     10.0000
  246    148.4924    148.4924     30.0000
  247    123.4349    169.8936     30.0000
  248     95.3380    187.1114     10.0000
  249     64.8936    199.7219     10.0000
  250     32.8512    207.4146     30.0000
  251       .0000    210.0000     30.0000
  252    -32.8512    207.4146     10.0000
  253    -64.8936    199.7219     10.0000
  254    -95.3380    187.1114     30.0000
  255   -123.4349    169.8936     30.0000
  256   -148.4924    148.4924     10.0000
  257   -169.8936    123.4349     10.0000
  258   -187.1114     95.3380     30.0000
  259   -199.7219     64.8936     30.0000
  260   -207.4146     32.8512     10.0000
  261   -210.0000       .0000     10.0000
  262   -207.4146    -32.8513     30.0000
  263   -199.7219    -64.8936     30.0000
  264   -187.1114    -95.3380     10.0000
  265   -169.8936   -123.4349     10.0000
  266   -148.4924   -148.4924     30.0000
  267   -123.4349   -169.8936     30.0000
  268    -95.3380   -187.1114     10.0000
  269    -64.8935   -199.7219     10.0000
  270    -32.8512   -207.4146     30.0000
  271       .0000   -210.0000     30.0000
  272     32.8513   -207.4146     10.0000
  273     64.8936   -199.7219     10.0000
  274     95.3380   -187.1114     30.0000
  275    123.4349   -169.8936     30.0000
  276    148.4924   -148.4924     10.0000
  277    169.8936   -123.4349     10.0000
  278    187.1114    -95.3380     30.0000
  279    199.7219    -64.8935     30.0000
  280    207.4146    -32.8512     10.0000
  281    240.0000       .0000     10.0000
  282    237.0452     37.5443     30.0000
  283    228.2536     74.1641     30.0000
  284    213.8416    108.9577     10.0000
  285    194.1641    141.0685     10.0000
  286    169.7056    169.7056     30.0000
  287    141.0685    194.1641     30.0000
  288    108.9577    213.8416     10.0000
  289     74.1641    228.2536     10.0000
  290     37.5443    237.0452     30.0000
  291       .0000    240.0000     30.0000
  292    -37.5443    237.0452     10.0000
  293    -74.1641    228.2536     10.0000
  294   -108.9577    213.8416     30.0000
  295   -141.0685    194.1641     30.0000
  296   -169.7056    169.7056     10.0000
  297   -194.1641    141.0685     10.0000
  298   -213.8416    108.9577     30.0000
  299   -228.2536     74.1641     30.0000
  300   -237.0452     37.5443     10.0000
  301   -240.0000       .0000     10.0000
  302   -237.0452    -37.5443     30.0000
  303   -228.2536    -74.1641     30.0000
  304   -213.8416   -108.9577     10.0000
  305   -194.1641   -141.0685     10.0000
  306   -169.7056   -169.7056     30.0000
  307   -141.0684   -194.1641     30.0000
  308   -108.9577   -213.8416     10.0000
  309    -74.1640   -228.2536     10.0000
  310    -37.5442   -237.0452     30.0000
  311       .0000   -240.0000     30.0000
  312     37.5443   -237.0452     10.0000
  313     74.1641   -228.2536     10.0000
  314    108.9577   -213.8416     30.0000
  315    141.0685   -194.1641     30.0000
  316    169.7057   -169.7056     10.0000
  317    194.1641   -141.0684     10.0000
  318    213.8416   -108.9577     30.0000
  319    228.2536    -74.1640     30.0000
  320    237.0452    -37.5442     10.0000
depot       .0000       .0000       .0000

XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX


 Data of New LSVRP No. [3] with 400 Customers
 Vehicle capacity = 900      Route-length Limit = 1200  
 Point   --- x ---   --- y ---   ---q---
    1     30.0000       .0000     10.0000
    2     29.6306      4.6930     30.0000
    3     28.5317      9.2705     30.0000
    4     26.7302     13.6197     10.0000
    5     24.2705     17.6336     10.0000
    6     21.2132     21.2132     30.0000
    7     17.6336     24.2705     30.0000
    8     13.6197     26.7302     10.0000
    9      9.2705     28.5317     10.0000
   10      4.6930     29.6306     30.0000
   11       .0000     30.0000     30.0000
   12     -4.6930     29.6306     10.0000
   13     -9.2705     28.5317     10.0000
   14    -13.6197     26.7302     30.0000
   15    -17.6336     24.2705     30.0000
   16    -21.2132     21.2132     10.0000
   17    -24.2705     17.6336     10.0000
   18    -26.7302     13.6197     30.0000
   19    -28.5317      9.2705     30.0000
   20    -29.6307      4.6930     10.0000
   21    -30.0000       .0000     10.0000
   22    -29.6306     -4.6930     30.0000
   23    -28.5317     -9.2705     30.0000
   24    -26.7302    -13.6197     10.0000
   25    -24.2705    -17.6336     10.0000
   26    -21.2132    -21.2132     30.0000
   27    -17.6336    -24.2705     30.0000
   28    -13.6197    -26.7302     10.0000
   29     -9.2705    -28.5317     10.0000
   30     -4.6930    -29.6307     30.0000
   31       .0000    -30.0000     30.0000
   32      4.6930    -29.6306     10.0000
   33      9.2705    -28.5317     10.0000
   34     13.6197    -26.7302     30.0000
   35     17.6336    -24.2705     30.0000
   36     21.2132    -21.2132     10.0000
   37     24.2705    -17.6336     10.0000
   38     26.7302    -13.6197     30.0000
   39     28.5317     -9.2705     30.0000
   40     29.6307     -4.6930     10.0000
   41     60.0000       .0000     10.0000
   42     59.2613      9.3861     30.0000
   43     57.0634     18.5410     30.0000
   44     53.4604     27.2394     10.0000
   45     48.5410     35.2671     10.0000
   46     42.4264     42.4264     30.0000
   47     35.2671     48.5410     30.0000
   48     27.2394     53.4604     10.0000
   49     18.5410     57.0634     10.0000
   50      9.3861     59.2613     30.0000
   51       .0000     60.0000     30.0000
   52     -9.3861     59.2613     10.0000
   53    -18.5410     57.0634     10.0000
   54    -27.2394     53.4604     30.0000
   55    -35.2671     48.5410     30.0000
   56    -42.4264     42.4264     10.0000
   57    -48.5410     35.2671     10.0000
   58    -53.4604     27.2394     30.0000
   59    -57.0634     18.5410     30.0000
   60    -59.2613      9.3861     10.0000
   61    -60.0000       .0000     10.0000
   62    -59.2613     -9.3861     30.0000
   63    -57.0634    -18.5410     30.0000
   64    -53.4604    -27.2394     10.0000
   65    -48.5410    -35.2671     10.0000
   66    -42.4264    -42.4264     30.0000
   67    -35.2671    -48.5410     30.0000
   68    -27.2394    -53.4604     10.0000
   69    -18.5410    -57.0634     10.0000
   70     -9.3861    -59.2613     30.0000
   71       .0000    -60.0000     30.0000
   72      9.3861    -59.2613     10.0000
   73     18.5410    -57.0634     10.0000
   74     27.2394    -53.4604     30.0000
   75     35.2671    -48.5410     30.0000
   76     42.4264    -42.4264     10.0000
   77     48.5410    -35.2671     10.0000
   78     53.4604    -27.2394     30.0000
   79     57.0634    -18.5410     30.0000
   80     59.2613     -9.3861     10.0000
   81     90.0000       .0000     10.0000
   82     88.8920     14.0791     30.0000
   83     85.5951     27.8115     30.0000
   84     80.1906     40.8591     10.0000
   85     72.8115     52.9007     10.0000
   86     63.6396     63.6396     30.0000
   87     52.9007     72.8115     30.0000
   88     40.8591     80.1906     10.0000
   89     27.8115     85.5951     10.0000
   90     14.0791     88.8920     30.0000
   91       .0000     90.0000     30.0000
   92    -14.0791     88.8920     10.0000
   93    -27.8115     85.5951     10.0000
   94    -40.8591     80.1906     30.0000
   95    -52.9007     72.8115     30.0000
   96    -63.6396     63.6396     10.0000
   97    -72.8115     52.9007     10.0000
   98    -80.1906     40.8591     30.0000
   99    -85.5951     27.8115     30.0000
  100    -88.8920     14.0791     10.0000
  101    -90.0000       .0000     10.0000
  102    -88.8920    -14.0791     30.0000
  103    -85.5951    -27.8115     30.0000
  104    -80.1906    -40.8592     10.0000
  105    -72.8115    -52.9007     10.0000
  106    -63.6396    -63.6396     30.0000
  107    -52.9007    -72.8115     30.0000
  108    -40.8591    -80.1906     10.0000
  109    -27.8115    -85.5951     10.0000
  110    -14.0791    -88.8920     30.0000
  111       .0000    -90.0000     30.0000
  112     14.0791    -88.8920     10.0000
  113     27.8115    -85.5951     10.0000
  114     40.8592    -80.1906     30.0000
  115     52.9007    -72.8115     30.0000
  116     63.6396    -63.6396     10.0000
  117     72.8115    -52.9007     10.0000
  118     80.1906    -40.8591     30.0000
  119     85.5951    -27.8115     30.0000
  120     88.8920    -14.0791     10.0000
  121    120.0000       .0000     10.0000
  122    118.5226     18.7721     30.0000
  123    114.1268     37.0820     30.0000
  124    106.9208     54.4789     10.0000
  125     97.0820     70.5342     10.0000
  126     84.8528     84.8528     30.0000
  127     70.5342     97.0820     30.0000
  128     54.4789    106.9208     10.0000
  129     37.0820    114.1268     10.0000
  130     18.7721    118.5226     30.0000
  131       .0000    120.0000     30.0000
  132    -18.7721    118.5226     10.0000
  133    -37.0820    114.1268     10.0000
  134    -54.4789    106.9208     30.0000
  135    -70.5342     97.0820     30.0000
  136    -84.8528     84.8528     10.0000
  137    -97.0820     70.5342     10.0000
  138   -106.9208     54.4789     30.0000
  139   -114.1268     37.0820     30.0000
  140   -118.5226     18.7721     10.0000
  141   -120.0000       .0000     10.0000
  142   -118.5226    -18.7721     30.0000
  143   -114.1268    -37.0821     30.0000
  144   -106.9208    -54.4789     10.0000
  145    -97.0820    -70.5342     10.0000
  146    -84.8528    -84.8528     30.0000
  147    -70.5342    -97.0820     30.0000
  148    -54.4788   -106.9208     10.0000
  149    -37.0820   -114.1268     10.0000
  150    -18.7721   -118.5226     30.0000
  151       .0000   -120.0000     30.0000
  152     18.7722   -118.5226     10.0000
  153     37.0821   -114.1268     10.0000
  154     54.4789   -106.9208     30.0000
  155     70.5342    -97.0820     30.0000
  156     84.8528    -84.8528     10.0000
  157     97.0821    -70.5342     10.0000
  158    106.9208    -54.4788     30.0000
  159    114.1268    -37.0820     30.0000
  160    118.5226    -18.7721     10.0000
  161    150.0000       .0000     10.0000
  162    148.1532     23.4652     30.0000
