240 550 650 0 5646.46
   0.0000      0.0000  
-133.6510     68.0986     30
-142.6585     46.3525     30
-148.1533     23.4652     10
-150.0000      0.0000     10
-148.1532    -23.4652     30
-142.6585    -46.3526     30
-133.6510    -68.0986     10
-121.3525    -88.1678     10
-106.0660   -106.0660     30
 -88.1678   -121.3526     30
 -68.0986   -133.6510     10
 -46.3525   -142.6585     10
 -23.4652   -148.1533     30
   0.0000   -150.0000     30
  23.4652   -148.1532     10
  46.3526   -142.6585     10
  68.0986   -133.6510     30
  88.1678   -121.3525     30
 106.0660   -106.0660     10
 121.3526    -88.1678     10
 133.6510    -68.0986     30
 142.6585    -46.3525     30
 148.1533    -23.4651     10
 180.0000      0.0000     10
 177.7839     28.1582     30
 171.1902     55.6231     30
 160.3812     81.7183     10
 145.6231    105.8013     10
 127.2792    127.2792     30
 105.8013    145.6231     30
  81.7183    160.3812     10
  55.6231    171.1902     10
  28.1582    177.7839     30
   0.0000    180.0000     30
 -28.1582    177.7839     10
 -55.6231    171.1902     10
 -81.7183    160.3812     30
-105.8014    145.6230     30
-127.2792    127.2792     10
-145.6231    105.8013     10
-160.3812     81.7183     30
-171.1902     55.6230     30
-177.7839     28.1582     10
-180.0000      0.0000     10
-177.7839    -28.1582     30
-171.1902    -55.6231     30
-160.3812    -81.7183     10
-145.6230   -105.8014     10
-127.2792   -127.2792     30
-105.8013   -145.6231     30
 -81.7183   -160.3812     10
 -55.6230   -171.1902     10
 -28.1582   -177.7839     30
   0.0000   -180.0000     30
  28.1582   -177.7839     10
  55.6231   -171.1902     10
  81.7183   -160.3812     30
 105.8014   -145.6230     30
 127.2792   -127.2792     10
 145.6231   -105.8013     10
 160.3812    -81.7183     30
 171.1902    -55.6230     30
 177.7839    -28.1582     10
